entry_time,exit_time,entry_price,exit_price,pnl_points,bars_held,exit_reason,signal_time,atr7_signal,signal_col,cum_pnl_points,equity_peak,drawdown_points,strategy
2020-07-13 20:00:00+00:00,2020-07-14 13:00:00+00:00,10412.25,10212.25,-200.0,17,stop,2020-07-13 19:00:00+00:00,102.25515558673243,sig_first_cross_100,-200.0,-200.0,0.0,sig_first_cross_100
2020-09-03 16:00:00+00:00,2020-09-03 19:00:00+00:00,11687.5,11487.5,-200.0,4,stop,2020-09-03 15:00:00+00:00,115.27009827971328,sig_first_cross_100,-400.0,-200.0,-200.0,sig_first_cross_100
2021-01-27 20:00:00+00:00,2021-01-27 21:00:00+00:00,13161.5,12961.5,-200.0,2,stop,2021-01-27 19:00:00+00:00,108.83817111494864,sig_first_cross_100,-600.0,-200.0,-400.0,sig_first_cross_100
2023-02-14 16:00:00+00:00,2023-02-15 16:00:00+00:00,12558.5,12714.25,155.75,24,time_exit,2023-02-14 15:00:00+00:00,104.81347955774183,sig_first_cross_100,-444.25,-200.0,-244.25,sig_first_cross_100
2024-03-08 18:00:00+00:00,2024-03-11 17:00:00+00:00,18257.25,18165.25,-92.0,24,time_exit,2024-03-08 17:00:00+00:00,102.75025819239602,sig_first_cross_100,-536.25,-200.0,-336.25,sig_first_cross_100
2024-09-18 20:00:00+00:00,2024-09-19 10:00:00+00:00,19571.0,19971.0,400.0,14,tp,2024-09-18 19:00:00+00:00,111.59394356836361,sig_first_cross_100,-136.25,-136.25,0.0,sig_first_cross_100
2024-09-22 23:00:00+00:00,2024-09-23 23:00:00+00:00,20627.75,20656.25,28.5,24,time_exit,2024-09-22 22:00:00+00:00,111.86255556336974,sig_first_cross_100,-107.75,-107.75,0.0,sig_first_cross_100
2024-10-01 15:00:00+00:00,2024-10-02 15:00:00+00:00,20513.25,20648.5,135.25,24,time_exit,2024-10-01 14:00:00+00:00,103.36298596527266,sig_first_cross_100,27.5,27.5,0.0,sig_first_cross_100
2024-10-03 17:00:00+00:00,2024-10-04 17:00:00+00:00,20510.5,20703.0,192.5,24,time_exit,2024-10-03 16:00:00+00:00,102.96828749395277,sig_first_cross_100,220.0,220.0,0.0,sig_first_cross_100
2024-12-18 20:00:00+00:00,2024-12-18 20:00:00+00:00,22220.75,22020.75,-200.0,1,stop,2024-12-18 19:00:00+00:00,100.29077291066682,sig_first_cross_100,20.0,220.0,-200.0,sig_first_cross_100
2025-02-07 19:00:00+00:00,2025-02-08 00:00:00+00:00,22220.5,22020.5,-200.0,4,stop,2025-02-07 18:00:00+00:00,100.41773538558053,sig_first_cross_100,-180.0,220.0,-400.0,sig_first_cross_100
2025-02-24 21:00:00+00:00,2025-02-25 14:00:00+00:00,22018.0,21818.0,-200.0,17,stop,2025-02-24 20:00:00+00:00,101.52266882397358,sig_first_cross_100,-380.0,220.0,-600.0,sig_first_cross_100
2025-05-23 12:00:00+00:00,2025-05-26 06:00:00+00:00,20629.75,21029.75,400.0,18,tp,2025-05-23 11:00:00+00:00,107.35874243284047,sig_first_cross_100,20.0,220.0,-200.0,sig_first_cross_100
