atr_col,fixed_atr_gate,rsi_min,count,avg_favorable,median_favorable,p60_favorable,p70_favorable,p80_favorable,p90_favorable,avg_adverse,median_adverse,p60_adverse,p70_adverse,p80_adverse,p90_adverse,avg_final_move,median_final_move,hit_100,hit_150,hit_200,hit_250,hit_300
d_atr7,550,50,112,477.97767857142856,499.5,582.6999999999999,646.05,732.9,862.85,339.18080357142856,294.5,373.15,477.69999999999993,573.8500000000001,715.2500000000002,186.078125,289.375,0.9196428571428571,0.8482142857142857,0.8035714285714286,0.7321428571428571,0.6339285714285714
d_atr7,550,52,105,482.4714285714286,496.25,591.05,660.9,743.4,864.35,321.2857142857143,269.0,348.85,464.7999999999999,569.45,654.1500000000004,185.11190476190475,263.0,0.9142857142857143,0.8476190476190476,0.8095238095238095,0.7333333333333333,0.638095238095238
d_atr7,550,54,102,480.296568627451,485.375,587.9499999999999,656.2999999999998,732.9,864.65,322.16421568627453,271.0,349.15,461.3249999999996,566.8000000000001,622.725,179.75,191.25,0.9215686274509803,0.8529411764705882,0.8137254901960784,0.7352941176470589,0.6372549019607843
d_atr7,550,56,98,480.07397959183675,485.375,590.65,660.95,738.7,873.675,323.9362244897959,266.375,356.49999999999994,479.3999999999999,572.35,638.6999999999998,170.84438775510205,96.375,0.9183673469387755,0.8469387755102041,0.8061224489795918,0.7244897959183674,0.6224489795918368
d_atr7,550,58,68,480.24264705882354,469.875,562.3999999999999,645.925,724.1,873.6750000000002,293.50367647058823,216.25,292.94999999999976,435.22499999999997,539.85,606.6250000000001,175.0808823529412,110.75,0.9705882352941176,0.8970588235294118,0.8529411764705882,0.7352941176470589,0.6029411764705882
d_atr7,550,60,62,505.1653225806452,499.625,589.15,662.375,732.9,891.525,272.1532258064516,186.875,275.3,414.29999999999995,522.2,590.475,212.1008064516129,335.375,0.967741935483871,0.9032258064516129,0.8870967741935484,0.7741935483870968,0.6451612903225806
d_atr7,550,62,52,461.8605769230769,473.0,557.3,629.3,681.7,756.225,306.1442307692308,255.5,380.84999999999997,477.7,543.8000000000001,598.05,133.24519230769232,96.375,0.9615384615384616,0.8846153846153846,0.8653846153846154,0.7307692307692307,0.6153846153846154
d_atr7,550,64,35,517.7857142857143,580.0,622.85,659.5,734.9,803.3000000000001,236.84285714285716,124.25,190.99999999999997,260.44999999999993,426.20000000000033,578.35,186.1,388.5,0.9428571428571428,0.8857142857142857,0.8857142857142857,0.8285714285714286,0.7142857142857143
d_atr7,550,66,29,571.3534482758621,614.25,645.35,693.75,748.6,825.75,170.89655172413794,100.5,123.35000000000001,174.29999999999998,235.40000000000003,303.44999999999993,310.1896551724138,411.25,0.9310344827586207,0.896551724137931,0.896551724137931,0.8620689655172413,0.8275862068965517
d_atr7,550,68,21,600.7380952380952,662.75,701.75,742.5,784.25,864.75,186.1547619047619,86.75,100.5,208.25,263.75,385.25,259.0595238095238,401.75,0.9047619047619048,0.8571428571428571,0.8571428571428571,0.8095238095238095,0.8095238095238095
d_atr7,550,70,21,600.7380952380952,662.75,701.75,742.5,784.25,864.75,186.1547619047619,86.75,100.5,208.25,263.75,385.25,259.0595238095238,401.75,0.9047619047619048,0.8571428571428571,0.8571428571428571,0.8095238095238095,0.8095238095238095
d_atr7,550,72,21,600.7380952380952,662.75,701.75,742.5,784.25,864.75,186.1547619047619,86.75,100.5,208.25,263.75,385.25,259.0595238095238,401.75,0.9047619047619048,0.8571428571428571,0.8571428571428571,0.8095238095238095,0.8095238095238095
d_atr7,550,74,15,526.8833333333333,614.25,670.35,722.75,750.85,803.3,239.06666666666666,158.25,223.85000000000002,260.45,303.4500000000001,677.5999999999998,227.46666666666667,401.75,0.8666666666666667,0.8,0.8,0.7333333333333333,0.7333333333333333
d_atr7,550,76,8,358.34375,343.75,502.45000000000005,600.275,643.35,668.45,357.25,245.625,303.45000000000005,375.0249999999999,677.6000000000003,879.175,-105.78125,-15.0,0.75,0.625,0.625,0.5,0.5
d_atr7,550,78,8,358.34375,343.75,502.45000000000005,600.275,643.35,668.45,357.25,245.625,303.45000000000005,375.0249999999999,677.6000000000003,879.175,-105.78125,-15.0,0.75,0.625,0.625,0.5,0.5
d_atr7,550,80,2,41.125,41.125,43.35,45.575,47.8,50.025,883.625,883.625,885.85,888.075,890.3,892.525,-719.375,-719.375,0.0,0.0,0.0,0.0,0.0
d_atr7,550,82,0,,,,,,,,,,,,,,,,,,,
d_atr7,550,84,0,,,,,,,,,,,,,,,,,,,
