time,open,high,low,close,tick_volume,spread,real_volume,segment,segment_start,segment_end
2020-02-18 00:00:00+00:00,9081.5,9082.25,9065.75,9068.5,4363,25,5033,1,2020-02-18,2020-03-23
2020-02-18 01:00:00+00:00,9068.75,9074.75,9056.75,9065.5,5175,25,5840,1,2020-02-18,2020-03-23
2020-02-18 02:00:00+00:00,9065.75,9071.75,9043.0,9048.25,5126,25,5953,1,2020-02-18,2020-03-23
2020-02-18 03:00:00+00:00,9048.25,9057.0,9047.0,9051.75,2658,25,3037,1,2020-02-18,2020-03-23
2020-02-18 04:00:00+00:00,9051.75,9058.0,9046.0,9057.0,1640,25,1961,1,2020-02-18,2020-03-23
2020-02-18 05:00:00+00:00,9057.25,9057.25,9049.5,9055.0,1441,25,1620,1,2020-02-18,2020-03-23
2020-02-18 06:00:00+00:00,9055.25,9057.25,9045.0,9046.25,2012,25,2387,1,2020-02-18,2020-03-23
2020-02-18 07:00:00+00:00,9046.0,9046.25,9012.5,9016.25,7333,25,8579,1,2020-02-18,2020-03-23
2020-02-18 08:00:00+00:00,9016.25,9042.75,9016.0,9029.75,9649,25,11018,1,2020-02-18,2020-03-23
2020-02-18 09:00:00+00:00,9030.0,9031.0,9014.0,9025.5,5390,25,6456,1,2020-02-18,2020-03-23
2020-02-18 10:00:00+00:00,9025.5,9048.0,9019.75,9044.75,6144,25,7112,1,2020-02-18,2020-03-23
2020-02-18 11:00:00+00:00,9045.0,9046.0,9031.75,9034.5,3196,25,3710,1,2020-02-18,2020-03-23
2020-02-18 12:00:00+00:00,9034.75,9053.25,9034.75,9049.0,4642,25,5462,1,2020-02-18,2020-03-23
2020-02-18 13:00:00+00:00,9049.25,9071.25,9044.75,9059.25,7830,25,8931,1,2020-02-18,2020-03-23
2020-02-18 14:00:00+00:00,9059.5,9101.25,9053.5,9101.0,33966,25,39088,1,2020-02-18,2020-03-23
2020-02-18 15:00:00+00:00,9101.0,9106.5,9072.0,9097.5,28668,25,33137,1,2020-02-18,2020-03-23
2020-02-18 16:00:00+00:00,9097.0,9101.75,9056.75,9060.25,24719,25,28591,1,2020-02-18,2020-03-23
2020-02-18 17:00:00+00:00,9060.0,9093.5,9057.25,9089.75,14858,25,17318,1,2020-02-18,2020-03-23
2020-02-18 18:00:00+00:00,9090.25,9107.75,9089.75,9094.25,10186,25,12238,1,2020-02-18,2020-03-23
2020-02-18 19:00:00+00:00,9094.25,9126.5,9086.0,9123.5,14055,25,16804,1,2020-02-18,2020-03-23
2020-02-18 20:00:00+00:00,9123.5,9132.75,9107.75,9114.25,15625,25,18482,1,2020-02-18,2020-03-23
2020-02-18 21:00:00+00:00,9114.25,9121.75,9111.5,9119.0,2477,0,2883,1,2020-02-18,2020-03-23
2020-02-18 22:00:00+00:00,9119.0,9119.0,9119.0,9119.0,1,0,1,1,2020-02-18,2020-03-23
2020-02-18 23:00:00+00:00,9121.0,9143.25,9119.0,9142.75,3325,0,4169,1,2020-02-18,2020-03-23
2020-02-19 00:00:00+00:00,9142.75,9147.75,9136.5,9140.0,3267,25,3967,1,2020-02-18,2020-03-23
2020-02-19 01:00:00+00:00,9139.75,9143.0,9126.0,9141.5,3977,25,4756,1,2020-02-18,2020-03-23
2020-02-19 02:00:00+00:00,9141.5,9152.25,9138.75,9142.0,2975,25,3463,1,2020-02-18,2020-03-23
2020-02-19 03:00:00+00:00,9142.25,9156.25,9141.25,9152.25,2316,25,2766,1,2020-02-18,2020-03-23
2020-02-19 04:00:00+00:00,9152.5,9156.25,9144.5,9145.0,1684,25,1872,1,2020-02-18,2020-03-23
2020-02-19 05:00:00+00:00,9145.0,9150.5,9142.75,9146.5,1515,25,1795,1,2020-02-18,2020-03-23
2020-02-19 06:00:00+00:00,9146.5,9146.75,9139.5,9142.5,1375,25,1607,1,2020-02-18,2020-03-23
2020-02-19 07:00:00+00:00,9142.25,9152.5,9140.0,9151.0,3044,25,3507,1,2020-02-18,2020-03-23
2020-02-19 08:00:00+00:00,9150.5,9150.5,9130.5,9138.5,5304,25,5850,1,2020-02-18,2020-03-23
2020-02-19 09:00:00+00:00,9138.75,9151.25,9138.75,9145.75,3300,25,3782,1,2020-02-18,2020-03-23
2020-02-19 10:00:00+00:00,9145.0,9151.5,9142.75,9148.5,1869,25,2119,1,2020-02-18,2020-03-23
2020-02-19 11:00:00+00:00,9148.5,9150.5,9141.0,9149.5,1918,25,2265,1,2020-02-18,2020-03-23
2020-02-19 12:00:00+00:00,9149.75,9164.75,9147.75,9163.0,4308,25,4982,1,2020-02-18,2020-03-23
2020-02-19 13:00:00+00:00,9163.0,9164.25,9155.5,9161.25,4754,25,5471,1,2020-02-18,2020-03-23
2020-02-19 14:00:00+00:00,9161.0,9196.0,9160.0,9190.25,36900,25,43336,1,2020-02-18,2020-03-23
2020-02-19 15:00:00+00:00,9190.0,9201.75,9183.75,9199.75,21934,25,25839,1,2020-02-18,2020-03-23
2020-02-19 16:00:00+00:00,9199.5,9217.0,9199.0,9212.75,13904,25,16621,1,2020-02-18,2020-03-23
2020-02-19 17:00:00+00:00,9212.75,9222.75,9207.5,9215.5,9188,25,11166,1,2020-02-18,2020-03-23
2020-02-19 18:00:00+00:00,9215.75,9217.75,9210.5,9213.0,5744,25,6689,1,2020-02-18,2020-03-23
2020-02-19 19:00:00+00:00,9214.0,9227.25,9207.25,9220.25,9644,25,11389,1,2020-02-18,2020-03-23
2020-02-19 20:00:00+00:00,9220.5,9222.25,9198.25,9206.75,17034,25,20481,1,2020-02-18,2020-03-23
