time,open,high,low,close,tick_volume,spread,real_volume,segment,segment_start,segment_end
2020-09-01 00:00:00+00:00,11942.25,12179.0,11941.25,12176.75,614227,0,684038,2,2020-09-01,2020-09-24
2020-09-02 00:00:00+00:00,12176.5,12282.25,11988.5,12238.0,1068626,0,1180959,2,2020-09-01,2020-09-24
2020-09-03 00:00:00+00:00,12237.75,12237.75,11398.5,11417.25,1735857,0,1905682,2,2020-09-01,2020-09-24
2020-09-04 00:00:00+00:00,11417.5,11659.5,10957.5,11356.75,1193140,0,1593388,2,2020-09-01,2020-09-24
2020-09-06 00:00:00+00:00,11347.75,11364.75,11124.25,11233.5,34295,25,40827,2,2020-09-01,2020-09-24
2020-09-07 00:00:00+00:00,11234.5,11401.75,11187.25,11375.75,263331,0,312000,2,2020-09-01,2020-09-24
2020-09-08 00:00:00+00:00,11375.75,11393.5,10751.25,10857.5,1126369,0,1411199,2,2020-09-01,2020-09-24
2020-09-09 00:00:00+00:00,10856.5,11295.0,10853.5,11259.75,827682,0,974595,2,2020-09-01,2020-09-24
2020-09-10 00:00:00+00:00,11260.5,11383.25,10904.0,11019.0,985161,0,1128744,2,2020-09-01,2020-09-24
2020-09-11 00:00:00+00:00,11019.25,11173.0,10753.75,10889.25,561862,0,674183,2,2020-09-01,2020-09-24
2020-09-12 00:00:00+00:00,10889.25,10889.25,10889.25,10889.25,2,0,2,2,2020-09-01,2020-09-24
2020-09-13 00:00:00+00:00,10889.25,11010.75,10889.25,11001.75,9121,25,10983,2,2020-09-01,2020-09-24
2020-09-14 00:00:00+00:00,11002.0,11178.5,10979.5,11114.25,237160,0,280595,2,2020-09-01,2020-09-24
2020-09-15 00:00:00+00:00,11113.75,11311.5,11063.5,11251.5,148131,0,175083,2,2020-09-01,2020-09-24
2020-09-16 00:00:00+00:00,11252.25,11366.25,11053.5,11095.25,122297,0,142641,2,2020-09-01,2020-09-24
2020-09-17 00:00:00+00:00,11098.5,11102.75,10734.25,10901.25,124483,0,139373,2,2020-09-01,2020-09-24
2020-09-18 00:00:00+00:00,10898.25,10995.75,10852.75,10938.0,6703,25,8735,2,2020-09-01,2020-09-24
2020-09-20 00:00:00+00:00,10874.0,10902.0,10788.0,10867.25,26862,25,30880,2,2020-09-01,2020-09-24
2020-09-21 00:00:00+00:00,10867.5,10953.0,10592.75,10948.0,1055397,0,1213169,2,2020-09-01,2020-09-24
2020-09-22 00:00:00+00:00,10948.25,11128.25,10833.25,11056.5,806747,0,913452,2,2020-09-01,2020-09-24
2020-09-23 00:00:00+00:00,11057.0,11158.5,10661.0,10685.0,888697,0,1013752,2,2020-09-01,2020-09-24
2020-09-24 00:00:00+00:00,10685.0,10947.75,10593.75,10888.0,1038823,0,1172712,2,2020-09-01,2020-09-24
2020-09-25 00:00:00+00:00,10886.75,11105.0,10749.75,11071.75,796661,0,873973,2,2020-09-01,2020-09-24
