train_start,train_end,test_start,test_end,train_rows,test_rows,test_pos_rate,auc,accuracy
2020-01-01,2022-03-01,2022-03-01,2022-05-01,50,67,0.417910447761194,0.347985347985348,0.3880597014925373
2020-01-01,2022-05-01,2022-05-01,2022-07-01,117,78,0.3974358974358974,0.455044612216884,0.5
2020-01-01,2022-07-01,2022-07-01,2022-09-01,195,27,0.4074074074074074,0.48863636363636365,0.5185185185185185
2020-01-01,2022-09-01,2022-09-01,2022-11-01,222,62,0.3709677419354839,0.7235228539576366,0.6451612903225806
2020-01-01,2022-11-01,2022-11-01,2023-01-01,284,70,0.5,0.48979591836734687,0.4714285714285714
2020-01-01,2023-01-01,2023-01-01,2023-03-01,354,15,0.5333333333333333,0.5892857142857143,0.6666666666666666
2020-01-01,2024-03-01,2024-03-01,2024-05-01,374,8,0.375,0.6,0.375
2020-01-01,2024-07-01,2024-07-01,2024-09-01,383,24,0.5,0.7361111111111112,0.7083333333333334
2020-01-01,2025-03-01,2025-03-01,2025-05-01,412,80,0.5125,0.557848655409631,0.5625
2020-01-01,2025-05-01,2025-05-01,2025-07-01,492,13,0.46153846153846156,0.6428571428571428,0.5384615384615384
2020-01-01,2026-01-01,2026-01-01,2026-03-01,505,23,0.5217391304347826,0.7045454545454545,0.6086956521739131
2020-01-01,2026-03-01,2026-03-01,2026-05-01,528,43,0.4186046511627907,0.5777777777777777,0.5813953488372093
