time,open,high,low,close,tick_volume,spread,real_volume,ema100,ema_slope_n,ret_1d,above_ema,below_ema,above_rising,below_falling,buyhold_position,long_only_above,short_only_below_falling,long_above_short_below_falling
2019-05-03,7891.5,7891.5,7891.5,7891.5,1,0,0,7891.5,,,False,False,False,False,1,0,0,0
2019-05-05,7775.25,7776.5,7727.25,7736.0,157,25,188,7888.420792079208,,-0.01970474561236779,False,True,False,False,1,0,0,0
2019-05-06,7727.75,7844.0,7695.25,7790.25,50755,0,93028,7886.4768159984305,,0.007012668045501602,False,True,False,False,1,0,0,0
2019-05-07,7791.0,7830.5,7608.0,7679.25,54710,0,159186,7882.37331469153,,-0.014248579955713825,False,True,False,False,1,0,0,0
2019-05-08,7680.25,7724.25,7627.25,7659.25,52573,25,173523,7877.955031232292,,-0.0026044210046554106,False,True,False,False,1,0,0,0
2019-05-09,7658.75,7668.5,7507.75,7626.5,76522,0,182580,7872.975723683137,,-0.004275875575284749,False,True,False,False,1,0,0,0
2019-05-10,7626.5,7680.0,7462.0,7636.75,65063,0,163935,7868.297986580501,,0.0013439979020519743,False,True,False,False,1,0,0,0
2019-05-12,7636.75,7636.75,7544.75,7546.0,1245,0,1957,7861.915848232372,,-0.011883327331652871,False,True,False,False,1,0,0,0
2019-05-13,7544.5,7559.75,7312.5,7333.25,87515,0,150499,7851.447217574305,,-0.028193745030479778,False,True,False,False,1,0,0,0
2019-05-14,7332.75,7486.0,7332.25,7459.75,56888,0,87741,7843.690837028279,,0.017250196024954922,False,True,False,False,1,0,0,0
2019-05-15,7458.75,7565.0,7380.25,7544.5,61584,0,104303,7837.766265998016,-53.733734001983976,0.01136097054190821,False,True,False,True,1,0,-1,-1
2019-05-16,7544.5,7667.75,7499.75,7634.25,66307,0,122865,7833.736240928748,-54.68455115045981,0.01189608323944591,False,True,False,True,1,0,-1,-1
2019-05-17,7635.0,7646.25,7533.0,7538.5,97571,0,176071,7827.889978732139,-58.586837266291695,-0.012542161967449283,False,True,False,True,1,0,-1,-1
2019-05-19,7538.5,7573.0,7538.5,7568.25,1576,0,1949,7822.74859301467,-59.624721676859735,0.003946408436691584,False,True,False,True,1,0,-1,-1
2019-05-20,7569.25,7586.0,7388.0,7441.75,122912,25,204120,7815.2040664203205,-62.750964811971244,-0.01671456413305583,False,True,False,True,1,0,-1,-1
2019-05-21,7442.5,7511.75,7427.25,7497.25,88415,0,149144,7808.907946293186,-64.06777738995152,0.007457923203547656,False,True,False,True,1,0,-1,-1
2019-05-22,7496.75,7500.5,7417.5,7444.25,67707,0,120180,7801.686996861637,-66.6109897188635,-0.0070692587282003005,False,True,False,True,1,0,-1,-1
2019-05-23,7445.0,7448.0,7294.75,7350.0,127262,0,232947,7792.742699894081,-69.17314833829096,-0.012660778453168597,False,True,False,True,1,0,-1,-1
2019-05-24,7351.75,7406.0,7327.0,7338.5,78134,25,135476,7783.7477949456825,-67.69942262862241,-0.0015646258503401178,False,True,False,True,1,0,-1,-1
2019-05-26,7338.5,7354.0,7334.0,7337.25,892,0,1521,7774.906254451709,-68.78458257656985,-0.0001703345370307474,False,True,False,True,1,0,-1,-1
2019-05-27,7336.25,7364.75,7319.5,7349.75,10446,0,13985,7766.487318719992,-71.27894727802413,0.0017036355582813467,False,True,False,True,1,0,-1,-1
2019-05-28,7351.0,7398.0,7307.25,7315.0,86522,0,155399,7757.546975775042,-76.1892651537064,-0.004728051974556946,False,True,False,True,1,0,-1,-1
2019-05-29,7316.25,7317.75,7209.75,7247.75,110325,0,208270,7747.451986155734,-80.43799257640512,-0.009193438140806531,False,True,False,True,1,0,-1,-1
2019-05-30,7248.75,7297.75,7209.5,7214.0,85064,0,153835,7736.888580489283,-85.86001252538699,-0.004656617570970356,False,True,False,True,1,0,-1,-1
2019-05-31,7214.0,7243.5,7156.0,7162.75,119114,0,195642,7725.519499687515,-89.68456673280525,-0.007104241752148632,False,True,False,True,1,0,-1,-1
2019-06-02,7162.75,7162.75,7103.25,7108.75,3466,0,5012,7713.30624226796,-95.60170402522544,-0.007539003874210359,False,True,False,True,1,0,-1,-1
2019-06-03,7108.25,7159.0,6967.0,7028.25,164722,0,265763,7699.74077212404,-101.94622473759773,-0.011324072445929367,False,True,False,True,1,0,-1,-1
2019-06-04,7028.25,7237.75,7008.0,7230.25,125902,0,204545,7690.443925151286,-102.2987747427951,0.02874115178031511,False,True,False,True,1,0,-1,-1
2019-06-05,7231.75,7271.75,7176.5,7238.75,120316,0,196414,7681.499490989874,-102.2483039558083,0.0011756163341516412,False,True,False,True,1,0,-1,-1
2019-06-06,7239.25,7326.0,7230.75,7302.25,106019,0,150800,7673.989600079184,-100.91665437252504,0.008772232774995725,False,True,False,True,1,0,-1,-1
2019-06-07,7302.5,7479.0,7290.75,7455.25,115660,0,166927,7669.6581228498935,-96.82919587009837,0.0209524461638535,False,True,False,True,1,0,-1,-1
2019-06-09,7455.25,7511.0,7455.25,7482.5,1946,0,2453,7665.952021407321,-91.59495436772067,0.0036551423493511592,False,True,False,True,1,0,-1,-1
2019-06-10,7482.5,7604.75,7458.0,7534.25,114110,0,158571,7663.344060587374,-84.10792556835986,0.006916137654527255,False,True,False,True,1,0,-1,-1
2019-06-11,7534.5,7627.5,7519.0,7540.75,105215,0,145408,7660.916455427228,-75.97212506205506,0.0008627268805787569,False,True,False,True,1,0,-1,-1
2019-06-12,7539.5,7557.5,7487.5,7516.5,80644,25,109726,7658.05672363659,-67.46277605092564,-0.003215860491330491,False,True,False,True,1,0,-1,-1
2019-06-13,7516.0,7562.5,7448.0,7522.25,83937,0,114461,7655.36748158438,-57.93876068358077,0.0007649837025212047,False,True,False,True,1,0,-1,-1
2019-06-14,7522.5,7547.5,7478.25,7510.75,47414,0,58510,7652.503769077758,-47.23700304628164,-0.0015287978995646156,False,True,False,True,1,0,-1,-1
2019-06-16,7510.75,7530.0,7507.25,7526.25,315,25,392,7650.003694442555,-40.44023070873118,0.0020637086842192343,False,True,False,True,1,0,-1,-1
2019-06-17,7522.5,7577.25,7509.25,7562.5,12613,0,17545,7648.270948017949,-33.22854297192498,0.004816475668493636,False,True,False,True,1,0,-1,-1
2019-06-18,7563.25,7719.5,7542.0,7684.0,10725,0,20237,7648.978453997792,-25.011146081392326,0.01606611570247929,True,False,False,False,1,1,0,1
2019-06-19,7683.0,7730.5,7626.75,7726.25,5129,25,10094,7650.508583621598,-19.149539228295907,0.005498438313378484,True,False,False,False,1,1,0,1
2019-06-20,7728.0,7819.25,7705.75,7763.5,4425,25,7947,7652.746037411269,-13.205983996052055,0.004821226338780127,True,False,False,False,1,1,0,1
2019-06-21,7763.25,7769.5,7729.25,7746.5,153,100,316,7654.602551521936,-8.74150906543764,-0.0021897340117215114,True,False,False,False,1,1,0,1
2019-06-23,7662.5,7689.5,7632.75,7686.25,1418,0,1785,7655.229233670017,-5.687221757211773,-0.007777706060801637,True,False,False,False,1,1,0,1
2019-06-24,7685.75,7710.0,7662.0,7675.0,77765,0,100052,7655.620733993383,-2.4359896432069945,-0.0014636526264433236,True,False,False,False,1,1,0,1
2019-06-25,7676.0,7695.75,7525.5,7542.25,125940,0,186012,7653.3757689638105,-1.9917126205691602,-0.017296416938110792,False,True,False,True,1,0,-1,-1
2019-06-26,7542.25,7635.0,7538.0,7569.75,116839,25,157014,7651.719813142745,-0.7839559350131822,0.00364612681892007,False,True,False,True,1,0,-1,-1
2019-06-27,7570.0,7632.75,7566.5,7611.75,88202,0,121853,7650.928331694374,0.9246372518191492,0.00554839988110567,False,True,False,False,1,0,0,0
2019-06-28,7612.5,7642.0,7580.25,7640.0,88901,0,127109,7650.711929086564,2.4409810686147466,0.0037113672939863562,False,True,False,False,1,0,0,0
2019-06-30,7640.0,7741.75,7640.0,7718.5,3759,0,5232,7652.054267124453,3.07581312666116,0.010274869109947682,True,False,True,False,1,1,0,1
2019-07-01,7718.25,7766.25,7674.75,7693.5,125795,25,168002,7652.8749747061465,2.3663910845489227,-0.003238971302714222,True,False,True,False,1,1,0,1
