feature,importance
dist_to_h1_ema_atr,0.07900200707214462
dist_to_recent_high_atr,0.06807440031379657
d1_rsi14,0.04952688092001684
tickvol_ratio,0.0488980421612907
h1_ret_1h,0.043545913412271015
d1_close_vs_ema_atr,0.04297334194416404
dist_to_recent_low_atr,0.04093851356714366
prev_bar_range,0.04042344918115936
recent_6h_std_ret,0.03899411153922257
recent_24h_high_distance,0.0362968526078147
prev_bar_rsi14,0.03542104031598612
body_size,0.03482461633071987
recent_24h_mean_ret,0.032613464245604414
h1_atr14,0.032130877693850916
prev_bar_atr_ratio,0.032124007965058515
h1_ret_24h,0.030556013375644037
regime_age,0.02986145749989927
h1_rsi14,0.02901353612786984
atr_ratio,0.028157742682052345
d1_ret_5,0.02803679418409281
recent_6h_mean_ret,0.025796811949956765
h1_ret_6h,0.025093114512617053
dayofweek,0.024489055155377297
recent_24h_low_break_distance,0.024460537893685085
bar_range,0.023533015241700445
hour,0.02163075179810666
d1_ema_slope_atr,0.020181302587437104
recent_24h_std_ret,0.01950931682372521
is_us_session,0.01223831870324045
prev_bar_red,0.0016547121943516871
trigger_atr_breakdown,0.0
trigger_rsi_rollover,0.0
