time,open,high,low,close,tick_volume,spread,real_volume,ema100,ema_slope_1,ema_slope_n,ema_slope_pct_n,above_ema,below_ema,dist_pct,ret_1d,fwd_ret_1,fwd_ret_3,fwd_ret_5,fwd_ret_10,fwd_ret_20,above_ema_rising,above_ema_falling,below_ema_falling,below_ema_rising,above_ema_band,below_ema_band,above_rising_band,above_rising,below_falling,buyhold_position,long_above_ema,long_above_rising,long_above_rising_band
2019-05-03,7891.5,7891.5,7891.5,7891.5,1,0,0,7891.5,,,,False,False,0.0,,-0.01970474561236779,-0.02689602737122221,-0.03358043464487104,-0.04397136159158588,-0.0686498130900336,False,False,False,False,False,False,False,False,False,1,0,0,0
2019-05-05,7775.25,7776.5,7727.25,7736.0,157,25,188,7888.420792079208,-3.0792079207922143,,,False,True,-1.9322091974638855,-0.01970474561236779,0.007012668045501602,-0.009921147880041392,-0.012829627714581182,-0.013152792140641134,-0.054420889348500534,False,False,False,False,False,True,False,False,False,1,0,0,0
2019-05-06,7727.75,7844.0,7695.25,7790.25,50755,0,93028,7886.4768159984305,-1.9439760807772473,,,False,True,-1.2201496085454289,0.007012668045501602,-0.014248579955713825,-0.0210198645743076,-0.03135329418182986,-0.032316036070729415,-0.06963832996373676,False,False,False,False,False,True,False,False,False,1,0,0,0
2019-05-07,7791.0,7830.5,7608.0,7679.25,54710,0,159186,7882.37331469153,-4.103501306900398,,,False,True,-2.5769309138522933,-0.014248579955713825,-0.0026044210046554106,-0.005534394634892692,-0.04505648338053847,-0.014454536575837507,-0.06058534362079626,False,False,False,False,False,True,False,False,False,1,0,0,0
2019-05-08,7680.25,7724.25,7627.25,7659.25,52573,25,173523,7877.955031232292,-4.41828345923841,,,False,True,-2.7761650119254577,-0.0026044210046554106,-0.004275875575284749,-0.014786043019877959,-0.02604693671051339,-0.02839703626334167,-0.06482357933218008,False,False,False,False,False,True,False,False,False,1,0,0,0
2019-05-09,7658.75,7668.5,7507.75,7626.5,76522,0,182580,7872.975723683137,-4.979307549154328,,,False,True,-3.1306551973950603,-0.004275875575284749,0.0013439979020519743,-0.038451452173343004,-0.01075198321641646,-0.016947485740510082,-0.06788828427194649,False,False,False,False,False,True,False,False,False,1,0,0,0
2019-05-10,7626.5,7680.0,7462.0,7636.75,65063,0,163935,7868.297986580501,-4.677737102636456,,,False,True,-2.9427963579341965,0.0013439979020519743,-0.011883327331652871,-0.02317739876256264,-0.00032736438930169864,-0.02520705797623335,-0.07968049235604147,False,False,False,False,False,True,False,False,False,1,0,0,0
2019-05-12,7636.75,7636.75,7544.75,7546.0,1245,0,1957,7861.915848232372,-6.382138348129047,,,False,True,-4.018306152480644,-0.011883327331652871,-0.028193745030479778,-0.00019878081102575607,-0.0009939040551285583,-0.025974025974025983,-0.04184336072091177,False,False,False,False,False,True,False,False,False,1,0,0,0
2019-05-13,7544.5,7559.75,7312.5,7333.25,87515,0,150499,7851.447217574305,-10.468630658067013,,,False,True,-6.600021667526423,-0.028193745030479778,0.017250196024954922,0.04104592097637472,0.03204581870248524,0.000715917226332019,-0.012886510073978119,False,False,False,False,False,True,False,False,False,1,0,0,0
2019-05-14,7332.75,7486.0,7332.25,7459.75,56888,0,87741,7843.690837028279,-7.756380546025866,,,False,True,-4.894900181631101,0.017250196024954922,0.01136097054190821,0.010556654043366143,-0.0024129494956265374,-0.016421461845236074,-0.021113308086732174,False,False,False,False,False,True,False,False,False,1,0,0,0
2019-05-15,7458.75,7565.0,7380.25,7544.5,61584,0,104303,7837.766265998016,-5.924571030262996,-53.733734001983976,-0.006809064690107581,False,True,-3.7417072166373577,0.01136097054190821,0.01189608323944591,0.003147988600967544,-0.006262840479819731,-0.025813506527934238,-0.011829809795215085,False,False,True,False,False,True,False,False,True,1,0,0,0
2019-05-16,7544.5,7667.75,7499.75,7634.25,66307,0,122865,7833.736240928748,-4.030025069268049,-54.68455115045981,-0.006932255845855583,False,True,-2.546501883564789,0.01189608323944591,-0.012542161967449283,-0.02521531257163445,-0.024887840979795017,-0.04181812227789239,-0.01987752562465206,False,False,True,False,False,True,False,False,True,1,0,0,0
2019-05-17,7635.0,7646.25,7533.0,7538.5,97571,0,176071,7827.889978732139,-5.846262196609132,-58.586837266291695,-0.00742877188803028,False,True,-3.6969091226165984,-0.012542161967449283,0.003946408436691584,-0.005471910857597684,-0.025004974464415963,-0.0385686807720369,-0.000563772633813131,False,False,True,False,False,True,False,False,True,1,0,0,0
2019-05-19,7538.5,7573.0,7538.5,7568.25,1576,0,1949,7822.74859301467,-5.141385717468438,-59.624721676859735,-0.007564310810517999,False,True,-3.2533142282231253,0.003946408436691584,-0.01671456413305583,-0.016384236778647643,-0.030357083870115265,-0.04680738611964452,-0.003633600898490408,False,False,True,False,False,True,False,False,True,1,0,0,0
2019-05-20,7569.25,7586.0,7388.0,7441.75,122912,25,204120,7815.2040664203205,-7.544526594349918,-62.750964811971244,-0.007965387535622372,False,True,-4.778558093254981,-0.01671456413305583,0.007457923203547656,-0.012329089259918713,-0.014042395941814778,-0.037491181509725524,0.010044680350723922,False,False,True,False,False,True,False,False,True,1,0,0,0
2019-05-21,7442.5,7511.75,7427.25,7497.25,88415,0,149144,7808.907946293186,-6.2961201271346,-64.06777738995152,-0.00813768257880253,False,True,-3.9910567320892376,0.007457923203547656,-0.0070692587282003005,-0.021174430624562368,-0.0196738804228217,-0.051819000300109996,0.0033345560038680055,False,False,True,False,False,True,False,False,True,1,0,0,0
2019-05-22,7496.75,7500.5,7417.5,7444.25,67707,0,120180,7801.686996861637,-7.2209494315484335,-66.6109897188635,-0.008465743141969143,False,True,-4.581534698910927,-0.0070692587282003005,-0.012660778453168597,-0.014373509755851832,-0.017362393793867725,-0.05588205662088186,0.008933069147328387,False,False,True,False,False,True,False,False,True,1,0,0,0
2019-05-23,7445.0,7448.0,7294.75,7350.0,127262,0,232947,7792.742699894081,-8.944296967556511,-69.17314833829096,-0.008798510397925901,False,True,-5.681474635369376,-0.012660778453168597,-0.0015646258503401178,-3.401360544219578e-05,-0.013911564625850303,-0.016292517006802676,0.023979591836734704,False,False,True,False,False,True,False,False,True,1,0,0,0
2019-05-24,7351.75,7406.0,7327.0,7338.5,78134,25,135476,7783.7477949456825,-8.99490494839847,-67.69942262862241,-0.008622540628826652,False,True,-5.720223813453984,-0.0015646258503401178,-0.0001703345370307474,-0.0032022892961777183,-0.016965319888260555,-0.01359269605505209,0.030523949035906606,False,False,True,False,False,True,False,False,True,1,0,0,0
2019-05-26,7338.5,7354.0,7334.0,7337.25,892,0,1521,7774.906254451709,-8.841540493973298,-68.78458257656985,-0.008769415318086416,False,True,-5.629087221484097,-0.0001703345370307474,0.0017036355582813467,-0.012198030597294629,-0.023782752393607942,-0.004770179563187815,0.04725885038672528,False,False,True,False,False,True,False,False,True,1,0,0,0
2019-05-27,7336.25,7364.75,7319.5,7349.75,10446,0,13985,7766.487318719992,-8.418935731717283,-71.27894727802413,-0.009094293560047607,False,True,-5.3658404580859465,0.0017036355582813467,-0.004728051974556946,-0.018470015986938315,-0.0327902309602367,0.014354229735705326,0.051226232184768294,False,False,True,False,False,True,False,False,True,1,0,0,0
