family,signal_time,trigger,entry_time,entry_price,exit_time,exit_price,exit_reason,bars_held,pnl_usd,return_pct,r_multiple,rf_prob,risk_usd,capital_before,capital_after
best_scalp_fixed_60_tighten,2022-03-08 06:00:00,atr_breakdown,2022-03-08 07:00:00,13482.75,2022-03-08 08:00:00,13582.75,stop,2,-200.0,-0.7362279361690427,-1.0,0.5062465260253133,200.0,5000.0,4800.0
best_scalp_fixed_60_tighten,2022-03-10 08:00:00,atr_breakdown,2022-03-10 09:00:00,13953.0,2022-03-10 11:00:00,13893.0,target,3,120.0,0.4318721658389091,0.6,0.5273196499906223,200.0,4800.0,4920.0
best_scalp_fixed_60_tighten,2022-03-10 08:00:00,rsi_rollover,2022-03-10 09:00:00,13953.0,2022-03-10 11:00:00,13893.0,target,3,120.0,0.4318721658389091,0.6,0.5273196499906223,200.0,4920.0,5040.0
best_scalp_fixed_60_tighten,2022-03-21 05:00:00,atr_breakdown,2022-03-21 06:00:00,14523.25,2022-03-21 13:00:00,14623.25,stop,8,-200.0,-0.6838425110696988,-1.0,0.5387546933579884,200.0,5040.0,4840.0
best_scalp_fixed_60_tighten,2022-03-23 11:00:00,atr_breakdown,2022-03-23 12:00:00,14739.25,2022-03-23 13:00:00,14679.25,target,2,120.0,0.40874022855390546,0.6,0.514536084202193,200.0,4840.0,4960.0
best_scalp_fixed_60_tighten,2022-04-11 08:00:00,atr_breakdown,2022-04-11 09:00:00,14369.0,2022-04-11 13:00:00,14309.0,target,5,120.0,0.4193165140820465,0.6,0.5440626888904823,200.0,4960.0,5080.0
best_scalp_fixed_60_tighten,2022-04-11 19:00:00,atr_breakdown,2022-04-11 20:00:00,14196.0,2022-04-12 00:00:00,14160.875,trail_or_tightened_stop,4,70.25,0.2480425821144605,0.35125,0.5740444178161281,200.0,5080.0,5150.25
best_scalp_fixed_60_tighten,2022-04-12 17:00:00,atr_breakdown,2022-04-12 18:00:00,14198.25,2022-04-12 18:00:00,14153.875,trail_or_tightened_stop,1,88.75,0.3135183827750243,0.44375,0.5192641792618674,200.0,5150.25,5239.0
best_scalp_fixed_60_tighten,2022-04-13 11:00:00,atr_breakdown,2022-04-13 12:00:00,14173.25,2022-04-13 14:00:00,14273.25,stop,3,-200.0,-0.7006112833447209,-1.0,0.5658777677538948,200.0,5239.0,5039.0
best_scalp_fixed_60_tighten,2022-04-14 12:00:00,atr_breakdown,2022-04-14 13:00:00,14381.5,2022-04-14 13:00:00,14339.375,trail_or_tightened_stop,1,84.25,0.29377152072527224,0.42125,0.5893987698604896,200.0,5039.0,5123.25
best_scalp_fixed_60_tighten,2022-04-14 13:00:00,atr_breakdown,2022-04-14 14:00:00,14309.25,2022-04-14 14:00:00,14258.875,trail_or_tightened_stop,1,100.75,0.35328874122257936,0.50375,0.5161335436397627,200.0,5123.25,5224.0
best_scalp_fixed_60_tighten,2022-04-14 16:00:00,atr_breakdown,2022-04-14 17:00:00,14176.25,2022-04-14 17:00:00,14169.375,trail_or_tightened_stop,1,13.75,0.048520135856389146,0.06875,0.5012852889712173,200.0,5224.0,5237.75
best_scalp_fixed_60_tighten,2022-04-19 08:00:00,atr_breakdown,2022-04-19 09:00:00,14056.75,2022-04-19 09:00:00,14038.875,trail_or_tightened_stop,1,35.75,0.12732501713990096,0.17875,0.534864490218799,200.0,5237.75,5273.5
best_scalp_fixed_60_tighten,2022-04-19 20:00:00,atr_breakdown,2022-04-19 22:00:00,14292.75,2022-04-19 22:00:00,14282.0,trail_or_tightened_stop,1,21.5,0.07526957008823221,0.1075,0.5338309929265704,200.0,5273.5,5295.0
best_scalp_fixed_60_tighten,2022-04-28 12:00:00,atr_breakdown,2022-04-28 13:00:00,13387.75,2022-04-28 13:00:00,13338.125,trail_or_tightened_stop,1,99.25,0.3720537931680701,0.49625,0.54939968309064,200.0,5295.0,5394.25
best_scalp_fixed_60_tighten,2022-05-04 13:00:00,atr_breakdown,2022-05-04 14:00:00,13211.25,2022-05-04 14:00:00,13160.875,trail_or_tightened_stop,1,100.75,0.38276330411162185,0.50375,0.5300230391827097,200.0,5394.25,5495.0
best_scalp_fixed_60_tighten,2022-05-04 14:00:00,atr_breakdown,2022-05-04 15:00:00,13126.5,2022-05-04 15:00:00,13100.75,trail_or_tightened_stop,1,51.5,0.1965536324256334,0.2575,0.5273795605095702,200.0,5495.0,5546.5
best_scalp_fixed_60_tighten,2022-05-11 17:00:00,atr_breakdown,2022-05-11 18:00:00,12201.25,2022-05-11 18:00:00,12200.125,trail_or_tightened_stop,1,2.25,0.009221216995736192,0.01125,0.5155469628147493,200.0,5546.5,5548.75
best_scalp_fixed_60_tighten,2022-05-16 13:00:00,atr_breakdown,2022-05-16 14:00:00,12441.0,2022-05-16 14:00:00,12541.0,stop,1,-200.0,-0.7973845785822498,-1.0,0.5227642443079468,200.0,5548.75,5348.75
best_scalp_fixed_60_tighten,2022-05-16 14:00:00,atr_breakdown,2022-05-16 15:00:00,12402.25,2022-05-16 15:00:00,12502.25,stop,1,-200.0,-0.7998560259153353,-1.0,0.5996321688527504,200.0,5348.75,5148.75
best_scalp_fixed_60_tighten,2022-05-18 11:00:00,atr_breakdown,2022-05-18 12:00:00,12608.0,2022-05-18 12:00:00,12582.5,trail_or_tightened_stop,1,51.0,0.20266242797535305,0.255,0.6019249685092456,200.0,5148.75,5199.75
best_scalp_fixed_60_tighten,2022-05-18 12:00:00,atr_breakdown,2022-05-18 13:00:00,12559.75,2022-05-18 13:00:00,12521.25,trail_or_tightened_stop,1,77.0,0.3074772886093591,0.385,0.5801833129455441,200.0,5199.75,5276.75
best_scalp_fixed_60_tighten,2022-05-18 13:00:00,atr_breakdown,2022-05-18 14:00:00,12491.75,2022-05-18 14:00:00,12472.625,trail_or_tightened_stop,1,38.25,0.15333580541385672,0.19125,0.5901583703810833,200.0,5276.75,5315.0
best_scalp_fixed_60_tighten,2022-05-18 18:00:00,atr_breakdown,2022-05-18 19:00:00,12120.75,2022-05-18 19:00:00,12100.875,trail_or_tightened_stop,1,39.75,0.1642443211751221,0.19875,0.5762360515599237,200.0,5315.0,5354.75
best_scalp_fixed_60_tighten,2022-05-20 13:00:00,atr_breakdown,2022-05-20 14:00:00,12188.75,2022-05-20 14:00:00,12087.875,trail_or_tightened_stop,1,201.75,0.8345139240768074,1.00875,0.6315455132512074,200.0,5354.75,5556.5
best_scalp_fixed_60_tighten,2022-05-20 15:00:00,atr_breakdown,2022-05-20 16:00:00,11927.0,2022-05-20 16:00:00,11827.0,trail_or_tightened_stop,1,200.0,0.8455229559482635,1.0,0.6087980053564517,200.0,5556.5,5756.5
best_scalp_fixed_60_tighten,2022-05-23 08:00:00,atr_breakdown,2022-05-23 09:00:00,12091.25,2022-05-23 13:00:00,12031.25,target,5,120.0,0.4987012987013095,0.6,0.5774718913630039,200.0,5756.5,5876.5
best_scalp_fixed_60_tighten,2022-05-23 13:00:00,atr_breakdown,2022-05-23 14:00:00,12046.25,2022-05-23 14:00:00,11986.25,target,1,120.0,0.5005735738867534,0.6,0.5322135395105004,200.0,5876.5,5996.5
best_scalp_fixed_60_tighten,2022-05-24 14:00:00,atr_breakdown,2022-05-24 15:00:00,11819.25,2022-05-24 15:00:00,11919.25,stop,1,-200.0,-0.8389789626025101,-1.0,0.502041908527728,200.0,5996.5,5796.5
best_scalp_fixed_60_tighten,2022-05-25 11:00:00,atr_breakdown,2022-05-25 12:00:00,11894.0,2022-05-25 13:00:00,11994.0,stop,2,-200.0,-0.8337502084375559,-1.0,0.5308682909934018,200.0,5796.5,5596.5
best_scalp_fixed_60_tighten,2022-05-30 13:00:00,atr_breakdown,2022-05-30 14:00:00,12965.0,2022-05-31 00:00:00,12905.0,target,6,120.0,0.46493607129018955,0.6,0.5148770907533311,200.0,5596.5,5716.5
best_scalp_fixed_60_tighten,2022-05-31 00:00:00,rsi_rollover,2022-05-31 01:00:00,12906.0,2022-05-31 07:00:00,12846.0,target,7,120.0,0.4670714619336769,0.6,0.5305347860809076,200.0,5716.5,5836.5
best_scalp_fixed_60_tighten,2022-05-31 00:00:00,atr_breakdown,2022-05-31 01:00:00,12906.0,2022-05-31 07:00:00,12846.0,target,7,120.0,0.4670714619336769,0.6,0.5305347860809076,200.0,5836.5,5956.5
best_scalp_fixed_60_tighten,2022-05-31 07:00:00,atr_breakdown,2022-05-31 08:00:00,12846.75,2022-05-31 13:00:00,12786.75,target,6,120.0,0.469235732301021,0.6,0.5714062568571119,200.0,5956.5,6076.5
best_scalp_fixed_60_tighten,2022-05-31 12:00:00,atr_breakdown,2022-05-31 13:00:00,12799.75,2022-05-31 13:00:00,12739.75,target,1,120.0,0.47096685570753305,0.6,0.5739881102696828,200.0,6076.5,6196.5
best_scalp_fixed_60_tighten,2022-05-31 13:00:00,atr_breakdown,2022-05-31 14:00:00,12744.0,2022-05-31 14:00:00,12684.0,target,1,120.0,0.47303689687796524,0.6,0.5345805053574516,200.0,6196.5,6316.5
best_scalp_fixed_60_tighten,2022-06-03 10:00:00,atr_breakdown,2022-06-03 11:00:00,12967.25,2022-06-03 12:00:00,12907.25,target,2,120.0,0.4648550233395943,0.6,0.5711635099160701,200.0,6316.5,6436.5
best_scalp_fixed_60_tighten,2022-06-03 12:00:00,atr_breakdown,2022-06-03 13:00:00,12908.25,2022-06-03 13:00:00,12848.25,target,1,120.0,0.4669896678535901,0.6,0.5291780587874241,200.0,6436.5,6556.5
