train_start,train_end,test_start,test_end,train_rows,test_rows,test_pos_rate,auc,accuracy
2020-01-01,2022-03-01,2022-03-01,2022-05-01,50,67,0.417910447761194,0.3415750915750916,0.417910447761194
2020-01-01,2022-05-01,2022-05-01,2022-07-01,117,78,0.3974358974358974,0.5449553877831159,0.5
2020-01-01,2022-07-01,2022-07-01,2022-09-01,195,27,0.4074074074074074,0.5397727272727273,0.6296296296296297
2020-01-01,2022-09-01,2022-09-01,2022-11-01,222,62,0.3709677419354839,0.8182831661092531,0.8064516129032258
2020-01-01,2022-11-01,2022-11-01,2023-01-01,284,70,0.5,0.5926530612244898,0.5714285714285714
2020-01-01,2023-01-01,2023-01-01,2023-03-01,354,15,0.5333333333333333,0.75,0.6
2020-01-01,2024-03-01,2024-03-01,2024-05-01,374,8,0.375,0.6,0.375
2020-01-01,2024-07-01,2024-07-01,2024-09-01,383,24,0.5,0.7708333333333334,0.7083333333333334
2020-01-01,2025-03-01,2025-03-01,2025-05-01,412,80,0.5125,0.642901813633521,0.6125
2020-01-01,2025-05-01,2025-05-01,2025-07-01,492,13,0.46153846153846156,0.7380952380952381,0.5384615384615384
2020-01-01,2026-01-01,2026-01-01,2026-03-01,505,23,0.5217391304347826,0.8409090909090909,0.8260869565217391
2020-01-01,2026-03-01,2026-03-01,2026-05-01,528,43,0.4186046511627907,0.6666666666666666,0.6744186046511628
