combo,trades,final_capital_usd,total_pnl_usd,total_return_pct,win_rate_pct,profit_factor,sharpe,max_drawdown_usd,max_drawdown_pct,avg_winner_usd,avg_loser_usd,avg_pnl_per_trade_usd,avg_bars_held,post_2024_trades,post_2024_total_pnl_usd,post_2024_return_pct,post_2024_win_rate_pct,post_2024_profit_factor,post_2024_sharpe,post_2024_max_drawdown_usd,tighten_mode,rsi_threshold,atr_stretch_threshold,tighten_factor,force_exit,score
either_rsi35_atr1.1_tf1.0_force0,183,32423.0,27423.0,548.46,95.08196721311475,20.587857142857143,15.2935535027554,-400.0,-8.0,165.6494252873563,-200.0,149.85245901639345,1.3715846994535519,75,14992.5,299.85,98.66666666666667,75.9625,17.155504966169687,-200.0,either,35,1.1,1.0,False,1331.4910797494215
either_rsi32_atr1.0_tf1.0_force0,183,32382.5,27382.5,547.65,95.08196721311475,20.55892857142857,15.263950243503308,-400.0,-8.0,165.41666666666666,-200.0,149.63114754098362,1.349726775956284,75,14952.0,299.04,98.66666666666667,75.76,17.081892743664742,-200.0,either,32,1.0,1.0,False,1328.335682389449
either_rsi35_atr1.0_tf1.0_force0,183,32382.5,27382.5,547.65,95.08196721311475,20.55892857142857,15.263950243503308,-400.0,-8.0,165.41666666666666,-200.0,149.63114754098362,1.349726775956284,75,14952.0,299.04,98.66666666666667,75.76,17.081892743664742,-200.0,either,35,1.0,1.0,False,1328.335682389449
either_rsi32_atr1.1_tf1.0_force0,183,32267.5,27267.5,545.35,95.08196721311475,20.476785714285715,15.248895821719321,-400.0,-8.0,164.75574712643677,-200.0,149.00273224043715,1.3770491803278688,75,14992.5,299.85,98.66666666666667,75.9625,17.155504966169687,-200.0,either,32,1.1,1.0,False,1327.375709152091
either_rsi35_atr1.25_tf1.0_force0,183,32179.0,27179.0,543.58,94.53551912568307,17.986875,15.011224181738712,-400.0,-8.0,166.35260115606937,-200.0,148.5191256830601,1.453551912568306,75,15035.0,300.7,98.66666666666667,76.175,17.23350374778045,-200.0,either,35,1.25,1.0,False,1272.9231794990767
either_rsi25_atr1.1_tf1.0_force0,183,32068.5,27068.5,541.37,95.08196721311475,17.9178125,15.000358893278165,-400.0,-8.0,164.76149425287358,-200.0,147.9153005464481,1.4426229508196722,75,14992.5,299.85,98.66666666666667,75.9625,17.155504966169687,-200.0,either,25,1.1,1.0,False,1268.987821655348
atr_exhaust_rsi25_atr1.0_tf1.0_force0,183,32182.5,27182.5,543.65,95.08196721311475,17.9890625,14.98404469592936,-400.0,-8.0,165.41666666666666,-200.0,148.53825136612022,1.366120218579235,75,14952.0,299.04,98.66666666666667,75.76,17.081892743664742,-200.0,atr_exhaust,25,1.0,1.0,False,1268.9407222715288
atr_exhaust_rsi28_atr1.0_tf1.0_force0,183,32182.5,27182.5,543.65,95.08196721311475,17.9890625,14.98404469592936,-400.0,-8.0,165.41666666666666,-200.0,148.53825136612022,1.366120218579235,75,14952.0,299.04,98.66666666666667,75.76,17.081892743664742,-200.0,atr_exhaust,28,1.0,1.0,False,1268.9407222715288
atr_exhaust_rsi30_atr1.0_tf1.0_force0,183,32182.5,27182.5,543.65,95.08196721311475,17.9890625,14.98404469592936,-400.0,-8.0,165.41666666666666,-200.0,148.53825136612022,1.366120218579235,75,14952.0,299.04,98.66666666666667,75.76,17.081892743664742,-200.0,atr_exhaust,30,1.0,1.0,False,1268.9407222715288
atr_exhaust_rsi32_atr1.0_tf1.0_force0,183,32182.5,27182.5,543.65,95.08196721311475,17.9890625,14.98404469592936,-400.0,-8.0,165.41666666666666,-200.0,148.53825136612022,1.366120218579235,75,14952.0,299.04,98.66666666666667,75.76,17.081892743664742,-200.0,atr_exhaust,32,1.0,1.0,False,1268.9407222715288
