date,dip_atr_mult,rr_ratio,result,pnl_R,cum_R,sub_session,study
2022-03-22,2.0,3.0,win,3.0,3.0,Pre-market,Study1_StrongUpDay_OvernightDip
2022-07-07,2.0,3.0,win,3.0,6.0,Pre-market,Study1_StrongUpDay_OvernightDip
2022-07-27,2.0,3.0,win,3.0,9.0,Pre-market,Study1_StrongUpDay_OvernightDip
2022-08-12,2.0,3.0,win,3.0,12.0,Asian,Study1_StrongUpDay_OvernightDip
2023-01-11,2.0,3.0,win,3.0,15.0,Pre-market,Study1_StrongUpDay_OvernightDip
2023-02-02,2.0,3.0,open,0.0,15.0,Asian,Study1_StrongUpDay_OvernightDip
2023-12-07,2.0,3.0,win,3.0,18.0,Pre-market,Study1_StrongUpDay_OvernightDip
2024-01-08,2.0,3.0,win,3.0,21.0,European,Study1_StrongUpDay_OvernightDip
2024-10-09,2.0,3.0,open,0.0,21.0,Pre-market,Study1_StrongUpDay_OvernightDip
2026-05-20,2.0,3.0,win,3.0,24.0,Asian,Study1_StrongUpDay_OvernightDip
2019-05-08,2.0,3.0,loss,-1.0,-1.0,Pre-market,Study2_Rally_Selloff_Dip
2019-05-22,2.0,3.0,loss,-1.0,-2.0,European,Study2_Rally_Selloff_Dip
2019-05-28,2.0,3.0,loss,-1.0,-3.0,European,Study2_Rally_Selloff_Dip
2019-06-12,2.0,3.0,win,3.0,0.0,Asian,Study2_Rally_Selloff_Dip
2019-06-24,2.0,3.0,loss,-1.0,-1.0,Asian,Study2_Rally_Selloff_Dip
2019-07-08,2.0,3.0,win,3.0,2.0,Asian,Study2_Rally_Selloff_Dip
2019-07-17,2.0,3.0,loss,-1.0,1.0,Asian,Study2_Rally_Selloff_Dip
2019-08-05,2.0,3.0,win,3.0,4.0,Asian,Study2_Rally_Selloff_Dip
2019-08-14,2.0,3.0,win,3.0,7.0,European,Study2_Rally_Selloff_Dip
2019-08-22,2.0,3.0,loss,-1.0,6.0,Pre-market,Study2_Rally_Selloff_Dip
2019-09-09,2.0,3.0,loss,-1.0,5.0,European,Study2_Rally_Selloff_Dip
2019-10-01,2.0,3.0,loss,-1.0,4.0,European,Study2_Rally_Selloff_Dip
2019-10-22,2.0,3.0,win,3.0,7.0,Asian,Study2_Rally_Selloff_Dip
2019-12-02,2.0,3.0,loss,-1.0,6.0,Pre-market,Study2_Rally_Selloff_Dip
2019-12-09,2.0,3.0,loss,-1.0,5.0,European,Study2_Rally_Selloff_Dip
2020-01-29,2.0,3.0,loss,-1.0,4.0,Asian,Study2_Rally_Selloff_Dip
2020-02-20,2.0,3.0,loss,-1.0,3.0,European,Study2_Rally_Selloff_Dip
2020-02-26,2.0,3.0,loss,-1.0,2.0,European,Study2_Rally_Selloff_Dip
2020-02-27,2.0,3.0,win,3.0,5.0,European,Study2_Rally_Selloff_Dip
2020-03-05,2.0,3.0,loss,-1.0,4.0,European,Study2_Rally_Selloff_Dip
2020-03-11,2.0,3.0,loss,-1.0,3.0,Asian,Study2_Rally_Selloff_Dip
2020-03-18,2.0,3.0,win,3.0,6.0,European,Study2_Rally_Selloff_Dip
2020-03-31,2.0,3.0,loss,-1.0,5.0,European,Study2_Rally_Selloff_Dip
2020-04-20,2.0,3.0,loss,-1.0,4.0,Pre-market,Study2_Rally_Selloff_Dip
2020-04-30,2.0,3.0,loss,-1.0,3.0,Asian,Study2_Rally_Selloff_Dip
2020-05-21,2.0,3.0,win,3.0,6.0,Asian,Study2_Rally_Selloff_Dip
2020-05-26,2.0,3.0,loss,-1.0,5.0,Pre-market,Study2_Rally_Selloff_Dip
2020-07-13,2.0,3.0,win,3.0,8.0,Pre-market,Study2_Rally_Selloff_Dip
2020-07-23,2.0,3.0,loss,-1.0,7.0,European,Study2_Rally_Selloff_Dip
2020-08-10,2.0,3.0,loss,-1.0,6.0,Pre-market,Study2_Rally_Selloff_Dip
2020-09-03,2.0,3.0,loss,-1.0,5.0,Pre-market,Study2_Rally_Selloff_Dip
2020-09-16,2.0,3.0,loss,-1.0,4.0,Asian,Study2_Rally_Selloff_Dip
