gain_thresh,dip_atr_mult,rr_ratio,n_trades,wins,losses,open,win_rate,expectancy_R,trigger_rate
0.008,2.0,3.0,8,8,0,2,1.0,3.0,0.085
0.008,2.0,2.5,9,9,0,1,1.0,2.5,0.085
0.008,2.0,2.0,10,10,0,0,1.0,2.0,0.085
0.008,2.0,1.5,10,10,0,0,1.0,1.5,0.085
0.008,1.5,2.0,16,13,3,0,0.812,1.438,0.136
0.008,0.75,2.0,44,33,11,0,0.75,1.25,0.373
0.008,1.25,2.0,21,15,6,0,0.714,1.143,0.178
0.008,1.5,2.5,15,9,6,1,0.6,1.1,0.136
0.008,1.25,2.5,20,12,8,1,0.6,1.1,0.178
0.008,1.0,2.0,26,18,8,0,0.692,1.077,0.22
0.008,0.75,3.0,37,19,18,7,0.514,1.054,0.373
0.008,1.0,2.5,24,14,10,2,0.583,1.042,0.22
0.008,0.5,2.0,62,42,20,3,0.677,1.032,0.551
0.008,1.5,1.5,16,13,3,0,0.812,1.031,0.136
0.008,0.75,2.5,40,23,17,4,0.575,1.012,0.373
0.008,2.0,1.0,10,10,0,0,1.0,1.0,0.085
0.008,1.25,1.5,21,16,5,0,0.762,0.905,0.178
0.008,0.5,2.5,56,30,26,9,0.536,0.875,0.551
0.008,0.75,1.5,44,33,11,0,0.75,0.875,0.373
0.008,0.5,1.5,65,48,17,0,0.738,0.846,0.551
0.008,1.5,3.0,13,6,7,3,0.462,0.846,0.136
0.008,1.0,1.5,26,19,7,0,0.731,0.827,0.22
0.008,1.0,3.0,22,10,12,4,0.455,0.818,0.22
0.008,0.5,3.0,49,22,27,16,0.449,0.796,0.551
0.008,1.25,3.0,18,8,10,3,0.444,0.778,0.178
0.008,1.5,1.0,16,14,2,0,0.875,0.75,0.136
0.008,1.0,1.0,26,22,4,0,0.846,0.692,0.22
0.008,0.75,1.0,44,36,8,0,0.818,0.636,0.373
0.008,1.25,1.0,21,17,4,0,0.81,0.619,0.178
0.008,0.5,1.0,65,52,13,0,0.8,0.6,0.551
