dip_atr_mult,rr_ratio,n_trades,wins,losses,win_rate,expectancy_R,trigger_rate
2.0,3.0,170,83,87,0.488,0.953,0.232
1.5,3.0,243,112,131,0.461,0.844,0.339
2.0,2.5,173,88,85,0.509,0.78,0.232
1.5,2.5,252,128,124,0.508,0.778,0.339
1.25,3.0,278,122,156,0.439,0.755,0.396
1.0,2.5,352,175,177,0.497,0.74,0.48
1.25,2.5,290,143,147,0.493,0.726,0.396
1.0,3.0,332,143,189,0.431,0.723,0.48
1.0,2.0,362,205,157,0.566,0.699,0.48
2.0,2.0,176,99,77,0.562,0.688,0.232
1.5,2.0,256,144,112,0.562,0.688,0.339
1.25,2.0,299,168,131,0.562,0.686,0.396
0.75,2.0,426,235,191,0.552,0.655,0.568
0.75,2.5,413,195,218,0.472,0.653,0.568
0.75,3.0,392,160,232,0.408,0.633,0.568
1.0,1.5,367,239,128,0.651,0.628,0.48
1.25,1.5,304,197,107,0.648,0.62,0.396
1.5,1.5,259,165,94,0.637,0.593,0.339
0.75,1.5,435,272,163,0.625,0.563,0.568
2.0,1.5,178,110,68,0.618,0.545,0.232
0.5,2.5,457,195,262,0.427,0.493,0.64
1.0,1.0,368,274,94,0.745,0.489,0.48
0.5,2.0,480,238,242,0.496,0.488,0.64
2.0,1.0,178,131,47,0.736,0.472,0.232
0.75,1.0,436,318,118,0.729,0.459,0.568
1.25,1.0,304,220,84,0.724,0.447,0.396
0.5,3.0,437,158,279,0.362,0.446,0.64
0.5,1.5,488,279,209,0.572,0.429,0.64
1.5,1.0,260,185,75,0.712,0.423,0.339
0.5,1.0,491,331,160,0.674,0.348,0.64
