signal_time,entry_time,exit_time,signal_idx,entry_idx,exit_idx,entry_price,exit_price,stop_start,target_start,initial_risk_points,gross_points,net_points,gross_pnl,net_pnl,r_multiple,bars_held,exit_reason,mfe_points,mae_points,year,is_cash,rsi14,atr14,tick_volume,above_ema50,above_ema100,ret_5bar,ret_10bar,volume_z20
2019-05-16 05:00:00+00:00,2019-05-16 06:00:00+00:00,2019-05-16 08:00:00+00:00,202,203,205,7521.25,7548.25,7503.25,7548.25,18.0,27.0,27.0,54.0,54.0,1.5,3,target,27.5,-14.75,2019,False,55.01778483075857,23.174644168142333,557,True,True,-0.0018913000199084484,-0.0031151615575807368,-0.6350254859782053
2019-05-21 02:00:00+00:00,2019-05-21 03:00:00+00:00,2019-05-21 07:00:00+00:00,271,272,276,7461.75,7440.75,7440.75,7493.25,21.0,-21.0,-21.0,-42.0,-42.0,-1.0,5,stop,10.25,-34.5,2019,False,45.798768273953286,24.97557217729001,675,False,False,0.00393568353067808,0.004882154882154932,-0.7595760074033622
2019-05-22 12:00:00+00:00,2019-05-22 13:00:00+00:00,2019-05-23 00:00:00+00:00,305,306,317,7445.75,7431.5,7409.5,7500.125,36.25,-14.25,-14.25,-28.5,-28.5,-0.3931034482758621,12,time_exit,53.25,-18.0,2019,False,39.795863733030984,20.901483034371932,5728,False,False,-0.0017429778105517713,-0.006272939606272954,1.9855369994118104
2019-05-27 00:00:00+00:00,2019-05-27 01:00:00+00:00,2019-05-27 12:00:00+00:00,366,367,378,7338.0,7343.5,7311.5,7377.75,26.5,5.5,5.5,11.0,11.0,0.20754716981132076,12,time_exit,26.75,-17.5,2019,False,42.482693535326575,19.158585015450036,970,False,False,0.00023846835184304638,-0.0024462338191825195,-0.5985271134547652
2019-06-06 17:00:00+00:00,2019-06-06 18:00:00+00:00,2019-06-06 18:00:00+00:00,574,575,575,7269.0,7300.125,7248.25,7300.125,20.75,31.125,31.125,62.25,62.25,1.5,1,target,31.75,-7.25,2019,True,56.173002028739184,23.151130505191954,5514,True,True,0.0021715152350751943,-0.0013395617228824097,0.24213136864446044
2019-06-07 01:00:00+00:00,2019-06-07 02:00:00+00:00,2019-06-07 08:00:00+00:00,582,583,589,7304.75,7337.75,7282.75,7337.75,22.0,33.0,33.0,66.0,66.0,1.5,7,target,34.75,-2.0,2019,False,62.831750061801905,21.381803748086156,843,True,True,0.001817122090033152,0.00644094650914484,-0.7151167953908779
2019-06-10 09:00:00+00:00,2019-06-10 10:00:00+00:00,2019-06-10 11:00:00+00:00,617,618,619,7472.5,7493.875,7458.25,7493.875,14.25,21.375,21.375,42.75,42.75,1.5,2,target,23.25,-4.5,2019,False,64.35320071489907,16.01468463945961,471,True,True,-0.00026755852842808014,-0.0012696291346475652,-0.4602202577864589
2019-06-11 11:00:00+00:00,2019-06-11 12:00:00+00:00,2019-06-11 13:00:00+00:00,643,644,645,7592.25,7618.125,7575.0,7618.125,17.25,25.875,25.875,51.75,51.75,1.5,2,target,35.25,-11.75,2019,False,68.10264660416769,16.057970170237347,881,True,True,0.003569068076668902,0.003934014347581671,-0.4392175159985926
2019-06-12 22:00:00+00:00,2019-06-12 23:00:00+00:00,2019-06-13 02:00:00+00:00,678,679,682,7510.5,7480.0,7480.0,7556.25,30.5,-30.5,-30.5,-61.0,-61.0,-1.0,4,stop,15.75,-62.5,2019,False,46.61975904095274,18.88068082753952,394,False,True,0.0007995469234101105,-0.0005655732250980927,-0.6605926380233279
2019-06-13 16:00:00+00:00,2019-06-13 17:00:00+00:00,2019-06-13 19:00:00+00:00,696,697,699,7544.5,7518.0,7518.0,7584.25,26.5,-26.5,-26.5,-53.0,-53.0,-1.0,3,stop,4.25,-28.5,2019,True,57.03072779360556,23.63998063643717,6925,True,True,0.0011611704598235573,0.007713884992987419,0.8525710666579479
2019-06-14 20:00:00+00:00,2019-06-16 19:00:00+00:00,2019-06-17 01:00:00+00:00,724,725,730,7510.75,7533.625,7495.5,7533.625,15.25,22.875,22.875,45.75,45.75,1.5,6,target,30.75,-3.5,2019,True,48.80638749818854,19.029762205553272,836,False,True,0.0010662756989103794,0.0031386690707535525,-0.5295349942153489
2019-06-17 02:00:00+00:00,2019-06-17 03:00:00+00:00,2019-06-17 06:00:00+00:00,731,732,735,7539.25,7527.0,7527.0,7557.625,12.25,-12.25,-12.25,-24.5,-24.5,-1.0,4,stop,2.75,-13.75,2019,False,61.14137045186153,15.531173095821929,153,True,True,0.003861132376926424,0.005199480051994776,-0.6677035346795599
2019-06-17 14:00:00+00:00,2019-06-17 15:00:00+00:00,2019-06-18 02:00:00+00:00,743,744,755,7570.0,7571.5,7545.0,7607.5,25.0,1.5,1.5,3.0,3.0,0.06,12,time_exit,7.25,-22.75,2019,True,66.5416679049167,17.68048793714414,2709,True,True,0.006680848235059544,0.004477314937649135,2.6088139298246316
2019-06-21 05:00:00+00:00,2019-06-21 06:00:00+00:00,2019-06-21 07:00:00+00:00,830,831,832,7735.5,7761.25,7721.25,7756.875,14.25,25.75,25.75,51.5,51.5,1.8070175438596492,2,target,33.0,-2.0,2019,False,44.443448300775295,16.845094521977554,18,True,True,-0.0025779009441562195,-0.003541190483855372,-0.6261733575429196
2019-06-24 22:00:00+00:00,2019-06-24 23:00:00+00:00,2019-06-25 02:00:00+00:00,865,866,869,7675.75,7654.0,7654.0,7708.375,21.75,-21.75,-21.75,-43.5,-43.5,-1.0,4,stop,20.0,-26.75,2019,False,40.5895632425509,13.805442799276365,367,False,False,0.00013031013812869752,-0.0019505851755526882,-0.7317662355005936
2019-06-27 03:00:00+00:00,2019-06-27 04:00:00+00:00,2019-06-27 09:00:00+00:00,918,919,924,7601.0,7623.875,7585.75,7623.875,15.25,22.875,22.875,45.75,45.75,1.5,6,target,31.75,-14.75,2019,False,57.08327975586413,17.976186793773678,596,True,False,0.005423459770494965,0.0034986962405518796,-0.7944667417415898
2019-06-28 11:00:00+00:00,2019-06-28 12:00:00+00:00,2019-06-28 13:00:00+00:00,950,951,952,7612.5,7596.5,7596.5,7636.5,16.0,-16.0,-16.0,-32.0,-32.0,-1.0,2,stop,13.75,-32.0,2019,False,55.47705398940144,14.07270559708598,895,True,False,0.000821719694977574,0.0007559324262145228,-0.47973032142831135
2019-07-11 18:00:00+00:00,2019-07-11 19:00:00+00:00,2019-07-12 06:00:00+00:00,1167,1168,1179,7829.75,7844.25,7802.25,7871.0,27.5,14.5,14.5,29.0,29.0,0.5272727272727272,12,time_exit,29.25,-8.5,2019,True,44.5599568008505,20.817615827797038,18786,True,True,-0.0041335453100158626,-0.004260189483054622,1.0602144726869913
2019-07-17 17:00:00+00:00,2019-07-17 18:00:00+00:00,2019-07-17 19:00:00+00:00,1265,1266,1267,7861.0,7843.75,7843.75,7886.875,17.25,-17.25,-17.25,-34.5,-34.5,-1.0,2,stop,0.5,-36.75,2019,True,45.55006373719349,13.564012224240338,7941,False,False,-6.359907145359056e-05,-0.0013338838250707141,0.2944269967730013
2019-07-22 17:00:00+00:00,2019-07-22 18:00:00+00:00,2019-07-23 05:00:00+00:00,1338,1339,1350,7833.25,7841.25,7812.75,7864.0,20.5,8.0,8.0,16.0,16.0,0.3902439024390244,12,time_exit,26.25,-9.0,2019,True,61.329712300923326,20.32330961989266,9568,True,True,0.00526163816612657,0.008107847237862398,0.3162560564630915
2019-07-26 18:00:00+00:00,2019-07-26 19:00:00+00:00,2019-07-26 20:00:00+00:00,1435,1436,1437,7952.0,7933.5,7933.5,7979.75,18.5,-18.5,-18.5,-37.0,-37.0,-1.0,2,stop,4.5,-21.0,2019,True,60.93235172357634,17.466405454379597,8102,True,True,0.0011961345966193804,0.003660345208418736,0.15504414857257065
