bear_window_id,bear_start,had_rsi70_streak_preceding,last_rsi70_streak_len,days_from_last_rsi70_bar_to_bear_start,max_preceding_rsi70_streak
1,2020-02-18 00:00:00+00:00,1,6.0,2.0,7.0
2,2020-09-01 00:00:00+00:00,1,7.0,1.0,7.0
3,2020-10-13 00:00:00+00:00,0,,,
4,2021-02-15 00:00:00+00:00,1,2.0,20.0,2.0
5,2021-04-26 00:00:00+00:00,0,,,
6,2021-12-27 00:00:00+00:00,1,3.0,36.0,3.0
7,2022-04-04 00:00:00+00:00,0,,,
8,2023-07-30 00:00:00+00:00,1,3.0,11.0,3.0
9,2024-03-24 00:00:00+00:00,0,,,
10,2024-07-10 00:00:00+00:00,1,4.0,1.0,4.0
11,2025-02-17 00:00:00+00:00,0,,,
12,2026-01-28 00:00:00+00:00,0,,,
