signal,horizon_h,count,mean_points_short,median_points_short,win_rate_short,mean_pct_short
signal_v3_A_core,6,8,57.6875,52.25,0.75,0.2864435371953189
signal_v3_A_core,12,8,-3.1875,-8.25,0.5,-0.05619157113297829
signal_v3_A_core,24,8,126.15625,137.375,0.875,0.7903217134395485
signal_v3_A_core,48,8,447.15625,510.875,1.0,2.6189984612732244
signal_v3_B_tagged,6,8,57.6875,52.25,0.75,0.2864435371953189
signal_v3_B_tagged,12,8,-3.1875,-8.25,0.5,-0.05619157113297829
signal_v3_B_tagged,24,8,126.15625,137.375,0.875,0.7903217134395485
signal_v3_B_tagged,48,8,447.15625,510.875,1.0,2.6189984612732244
signal_v3_C_or_logic,6,1,-166.5,-166.5,0.0,-0.7948157960688818
signal_v3_C_or_logic,12,1,-153.75,-153.75,0.0,-0.7339515233969474
signal_v3_C_or_logic,24,1,248.75,248.75,1.0,1.1874500256584652
signal_v3_C_or_logic,48,1,99.0,99.0,1.0,0.4725931760409585
signal_v3_D_loose_structure,6,8,57.6875,52.25,0.75,0.2864435371953189
signal_v3_D_loose_structure,12,8,-3.1875,-8.25,0.5,-0.05619157113297829
signal_v3_D_loose_structure,24,8,126.15625,137.375,0.875,0.7903217134395485
signal_v3_D_loose_structure,48,8,447.15625,510.875,1.0,2.6189984612732244
signal_v3_E_first_rally,6,2,52.75,52.75,1.0,0.3366512300094826
signal_v3_E_first_rally,12,2,-4.75,-4.75,0.5,-0.02682215982205971
signal_v3_E_first_rally,24,2,-20.875,-20.875,0.0,-0.12483181342503036
signal_v3_E_first_rally,48,2,203.875,203.875,1.0,1.3568592983513594
