signal,mode,stop_points,time_exit_h,r_mult,trades,win_rate,avg_net_dollars,total_net_dollars,profit_factor,avg_hours_from_bear_start,pct_rsi70_context_tag,pct_stall_or_reject_tag
signal_v3_A_core,stop_target,400.0,48,2.0,8,1.0,884.8125,7078.5,,74.125,0.0,0.0
signal_v3_A_core,stop_time,300.0,48,,8,1.0,884.8125,7078.5,,74.125,0.0,0.0
signal_v3_A_core,stop_time,400.0,48,,8,1.0,884.8125,7078.5,,74.125,0.0,0.0
signal_v3_A_core,stop_target,300.0,48,2.0,8,1.0,869.875,6959.0,,74.125,0.0,0.0
signal_v3_A_core,stop_target,400.0,48,1.5,8,1.0,869.875,6959.0,,74.125,0.0,0.0
signal_v3_A_core,stop_time,200.0,48,,8,0.875,822.5,6580.0,17.2268803945746,74.125,0.0,0.0
signal_v3_A_core,stop_target,300.0,48,1.5,8,1.0,716.75,5734.0,,74.125,0.0,0.0
signal_v3_A_core,stop_target,400.0,48,1.0,8,1.0,654.25,5234.0,,74.125,0.0,0.0
signal_v3_A_core,stop_target,200.0,48,2.0,8,0.875,591.9375,4735.5,12.678175092478421,74.125,0.0,0.0
signal_v3_A_core,stop_target,300.0,48,1.0,8,1.0,538.8125,4310.5,,74.125,0.0,0.0
signal_v3_A_core,stop_target,200.0,48,1.5,8,0.875,476.5,3812.0,10.400739827373613,74.125,0.0,0.0
signal_v3_A_core,stop_target,200.0,48,1.0,8,1.0,402.5,3220.0,,74.125,0.0,0.0
signal_v3_A_core,stop_time,300.0,24,,8,0.875,242.8125,1942.5,9.652561247216036,74.125,0.0,0.0
signal_v3_A_core,stop_time,400.0,24,,8,0.875,242.8125,1942.5,9.652561247216036,74.125,0.0,0.0
signal_v3_A_core,stop_time,200.0,24,,8,0.875,220.1875,1761.5,5.344019728729963,74.125,0.0,0.0
signal_v3_A_core,stop_time,200.0,6,,8,0.75,105.875,847.0,6.821305841924398,74.125,0.0,0.0
signal_v3_A_core,stop_time,300.0,6,,8,0.75,105.875,847.0,6.821305841924398,74.125,0.0,0.0
signal_v3_A_core,stop_time,400.0,6,,8,0.75,105.875,847.0,6.821305841924398,74.125,0.0,0.0
