signal,mode,stop_points,time_exit_h,r_mult,entry_time,exit_time,entry_price,exit_price,gross_points,net_dollars,exit_reason,bear_window_id,hours_from_bear_start,rsi70_context_tag_v3,stall_or_reject_tag_v3
signal_v3_A_core,stop_time,200.0,6,,2021-02-18 20:00:00+00:00,2021-02-19 03:00:00+00:00,13675.0,13610.0,65.0,128.5,time_exit_6h,4.0,92.0,0,0
signal_v3_A_core,stop_time,200.0,12,,2021-02-18 20:00:00+00:00,2021-02-19 09:00:00+00:00,13675.0,13714.75,-39.75,-81.0,time_exit_12h,4.0,92.0,0,0
signal_v3_A_core,stop_time,200.0,24,,2021-02-18 20:00:00+00:00,2021-02-19 21:00:00+00:00,13675.0,13613.75,61.25,121.0,time_exit_24h,4.0,92.0,0,0
signal_v3_A_core,stop_time,200.0,48,,2021-02-18 20:00:00+00:00,2021-02-22 17:00:00+00:00,13675.0,13379.0,296.0,590.5,time_exit_48h,4.0,92.0,0,0
signal_v3_A_core,stop_target,200.0,48,1.0,2021-02-18 20:00:00+00:00,2021-02-22 07:00:00+00:00,13675.0,13473.0,202.0,402.5,target_1.0R,4.0,92.0,0,0
signal_v3_A_core,stop_target,200.0,48,1.5,2021-02-18 20:00:00+00:00,2021-02-22 15:00:00+00:00,13675.0,13373.0,302.0,602.5,target_1.5R,4.0,92.0,0,0
signal_v3_A_core,stop_target,200.0,48,2.0,2021-02-18 20:00:00+00:00,2021-02-22 17:00:00+00:00,13675.0,13379.0,296.0,590.5,time_exit_48h,4.0,92.0,0,0
signal_v3_A_core,stop_time,300.0,6,,2021-02-18 20:00:00+00:00,2021-02-19 03:00:00+00:00,13675.0,13610.0,65.0,128.5,time_exit_6h,4.0,92.0,0,0
signal_v3_A_core,stop_time,300.0,12,,2021-02-18 20:00:00+00:00,2021-02-19 09:00:00+00:00,13675.0,13714.75,-39.75,-81.0,time_exit_12h,4.0,92.0,0,0
signal_v3_A_core,stop_time,300.0,24,,2021-02-18 20:00:00+00:00,2021-02-19 21:00:00+00:00,13675.0,13613.75,61.25,121.0,time_exit_24h,4.0,92.0,0,0
signal_v3_A_core,stop_time,300.0,48,,2021-02-18 20:00:00+00:00,2021-02-22 17:00:00+00:00,13675.0,13379.0,296.0,590.5,time_exit_48h,4.0,92.0,0,0
signal_v3_A_core,stop_target,300.0,48,1.0,2021-02-18 20:00:00+00:00,2021-02-22 15:00:00+00:00,13675.0,13373.0,302.0,602.5,target_1.0R,4.0,92.0,0,0
signal_v3_A_core,stop_target,300.0,48,1.5,2021-02-18 20:00:00+00:00,2021-02-22 17:00:00+00:00,13675.0,13379.0,296.0,590.5,time_exit_48h,4.0,92.0,0,0
signal_v3_A_core,stop_target,300.0,48,2.0,2021-02-18 20:00:00+00:00,2021-02-22 17:00:00+00:00,13675.0,13379.0,296.0,590.5,time_exit_48h,4.0,92.0,0,0
signal_v3_A_core,stop_time,400.0,6,,2021-02-18 20:00:00+00:00,2021-02-19 03:00:00+00:00,13675.0,13610.0,65.0,128.5,time_exit_6h,4.0,92.0,0,0
signal_v3_A_core,stop_time,400.0,12,,2021-02-18 20:00:00+00:00,2021-02-19 09:00:00+00:00,13675.0,13714.75,-39.75,-81.0,time_exit_12h,4.0,92.0,0,0
signal_v3_A_core,stop_time,400.0,24,,2021-02-18 20:00:00+00:00,2021-02-19 21:00:00+00:00,13675.0,13613.75,61.25,121.0,time_exit_24h,4.0,92.0,0,0
signal_v3_A_core,stop_time,400.0,48,,2021-02-18 20:00:00+00:00,2021-02-22 17:00:00+00:00,13675.0,13379.0,296.0,590.5,time_exit_48h,4.0,92.0,0,0
signal_v3_A_core,stop_target,400.0,48,1.0,2021-02-18 20:00:00+00:00,2021-02-22 17:00:00+00:00,13675.0,13379.0,296.0,590.5,time_exit_48h,4.0,92.0,0,0
signal_v3_A_core,stop_target,400.0,48,1.5,2021-02-18 20:00:00+00:00,2021-02-22 17:00:00+00:00,13675.0,13379.0,296.0,590.5,time_exit_48h,4.0,92.0,0,0
signal_v3_A_core,stop_target,400.0,48,2.0,2021-02-18 20:00:00+00:00,2021-02-22 17:00:00+00:00,13675.0,13379.0,296.0,590.5,time_exit_48h,4.0,92.0,0,0
signal_v3_A_core,stop_time,200.0,6,,2022-04-04 16:00:00+00:00,2022-04-04 23:00:00+00:00,15289.0,15347.0,-58.0,-117.5,time_exit_6h,7.0,16.0,0,0
