problem,model,fold,rows_train,rows_test,accuracy,precision,recall,f1,auc
ACTIVE_BEAR,logistic_regression,1,360.0,356.0,0.19662921348314608,0.15976331360946747,0.9642857142857143,0.27411167512690354,0.5201785714285715
ACTIVE_BEAR,logistic_regression,2,716.0,356.0,0.5449438202247191,0.4782608695652174,0.06832298136645963,0.11956521739130435,0.44475234910017514
ACTIVE_BEAR,logistic_regression,3,1072.0,356.0,0.7415730337078652,0.2647058823529412,0.6136363636363636,0.3698630136986301,0.7835081585081586
ACTIVE_BEAR,logistic_regression,4,1428.0,356.0,0.36235955056179775,0.23367697594501718,0.9444444444444444,0.3746556473829201,0.6752738654147104
ACTIVE_BEAR,logistic_regression,5,1784.0,356.0,0.598314606741573,0.21686746987951808,0.7346938775510204,0.33488372093023255,0.6720069135145915
ACTIVE_BEAR,logistic_regression,mean,1072.0,356.0,0.48876404494382025,0.27065490227043226,0.6650766762568004,0.2946158549059981,0.6191439715932414
ACTIVE_BEAR,random_forest,1,360.0,356.0,0.7050561797752809,0.28695652173913044,0.5892857142857143,0.38596491228070173,0.7228571428571429
ACTIVE_BEAR,random_forest,2,716.0,356.0,0.4606741573033708,0.22807017543859648,0.08074534161490683,0.11926605504587157,0.46319477623825445
ACTIVE_BEAR,random_forest,3,1072.0,356.0,0.8932584269662921,0.6071428571428571,0.38636363636363635,0.4722222222222222,0.8216054778554779
ACTIVE_BEAR,random_forest,4,1428.0,356.0,0.38202247191011235,0.22992700729927007,0.875,0.36416184971098264,0.6695520344287951
ACTIVE_BEAR,random_forest,5,1784.0,356.0,0.800561797752809,0.358974358974359,0.5714285714285714,0.4409448818897638,0.8136010104367479
ACTIVE_BEAR,random_forest,mean,1072.0,356.0,0.6483146067415729,0.34221418411884263,0.5005646527385658,0.3565119842299084,0.6981620883632835
