problem,model,fold,rows_train,rows_test,accuracy,precision,recall,f1,auc
PREBEAR_VS_OUTSIDE,logistic_regression,1,238.0,237.0,0.29535864978902954,0.06358381502890173,0.6875,0.1164021164021164,0.3868778280542986
PREBEAR_VS_OUTSIDE,logistic_regression,2,475.0,237.0,0.8860759493670886,0.2,0.041666666666666664,0.06896551724137931,0.6441705790297341
PREBEAR_VS_OUTSIDE,logistic_regression,3,712.0,237.0,0.28270042194092826,0.09574468085106383,1.0,0.17475728155339806,0.7042110603754439
PREBEAR_VS_OUTSIDE,logistic_regression,4,949.0,237.0,0.47257383966244726,0.05343511450381679,0.875,0.10071942446043165,0.7019650655021834
PREBEAR_VS_OUTSIDE,logistic_regression,5,1186.0,237.0,0.5021097046413502,0.0,0.0,0.0,0.15497076023391815
PREBEAR_VS_OUTSIDE,logistic_regression,mean,712.0,237.0,0.48776371308016875,0.08255272207675646,0.5208333333333333,0.09216886793146509,0.5184390586391157
PREBEAR_VS_OUTSIDE,random_forest,1,238.0,237.0,0.8227848101265823,0.0,0.0,0.0,0.52460407239819
PREBEAR_VS_OUTSIDE,random_forest,2,475.0,237.0,0.810126582278481,0.0,0.0,0.0,0.23865414710485133
PREBEAR_VS_OUTSIDE,random_forest,3,712.0,237.0,0.2109704641350211,0.06666666666666667,0.7222222222222222,0.12206572769953052,0.5200405885337392
PREBEAR_VS_OUTSIDE,random_forest,4,949.0,237.0,0.14345991561181434,0.037914691943127965,1.0,0.0730593607305936,0.4781659388646288
PREBEAR_VS_OUTSIDE,random_forest,5,1186.0,237.0,0.9282700421940928,0.0,0.0,0.0,0.20077972709551656
PREBEAR_VS_OUTSIDE,random_forest,mean,712.0,237.0,0.5831223628691984,0.020916271721958927,0.34444444444444444,0.03902501768602482,0.39244889479938516
