feature,importance,signed_coef,model,problem
ema20_slope_5,2.3022338842063195,2.3022338842063195,logistic_regression,PREBEAR_VS_OUTSIDE
ema50_slope_5,1.7972760251812494,-1.7972760251812494,logistic_regression,PREBEAR_VS_OUTSIDE
ema_200,1.6701505036126736,-1.6701505036126736,logistic_regression,PREBEAR_VS_OUTSIDE
dist_ema50_atr,1.5221163786967375,-1.5221163786967375,logistic_regression,PREBEAR_VS_OUTSIDE
dist_ema200_atr,1.3094064267480423,1.3094064267480423,logistic_regression,PREBEAR_VS_OUTSIDE
ema10_slope_5,1.1449974567815109,-1.1449974567815109,logistic_regression,PREBEAR_VS_OUTSIDE
dist_ema20_atr,1.1173446453300913,1.1173446453300913,logistic_regression,PREBEAR_VS_OUTSIDE
rolling_green_ratio_5,1.1086424921529432,1.1086424921529432,logistic_regression,PREBEAR_VS_OUTSIDE
rolling_red_ratio_10,0.8582757116883485,0.8582757116883485,logistic_regression,PREBEAR_VS_OUTSIDE
tick_volume,0.6965434475692527,0.6965434475692527,logistic_regression,PREBEAR_VS_OUTSIDE
rolling_red_ratio_5,0.6422961053377821,0.6422961053377821,logistic_regression,PREBEAR_VS_OUTSIDE
real_volume,0.6372376424673468,-0.6372376424673468,logistic_regression,PREBEAR_VS_OUTSIDE
ret_10,0.5330206147612296,0.5330206147612296,logistic_regression,PREBEAR_VS_OUTSIDE
drawdown_pct,0.4640362504114207,0.4640362504114207,logistic_regression,PREBEAR_VS_OUTSIDE
green_streak,0.4419352006292688,0.4419352006292688,logistic_regression,PREBEAR_VS_OUTSIDE
is_green,0.4328580050781665,-0.4328580050781665,logistic_regression,PREBEAR_VS_OUTSIDE
ema_50,0.40128979861795433,0.40128979861795433,logistic_regression,PREBEAR_VS_OUTSIDE
ema_10,0.3401147721381592,0.3401147721381592,logistic_regression,PREBEAR_VS_OUTSIDE
rsi,0.3136288149651585,-0.3136288149651585,logistic_regression,PREBEAR_VS_OUTSIDE
is_red,0.28427702865882043,-0.28427702865882043,logistic_regression,PREBEAR_VS_OUTSIDE
ret_3,0.26007960780760475,-0.26007960780760475,logistic_regression,PREBEAR_VS_OUTSIDE
rolling_vol_10,0.2223386111796092,0.2223386111796092,logistic_regression,PREBEAR_VS_OUTSIDE
adx,0.2164307959532898,0.2164307959532898,logistic_regression,PREBEAR_VS_OUTSIDE
spread,0.21533624568751566,-0.21533624568751566,logistic_regression,PREBEAR_VS_OUTSIDE
ema_100,0.20947262848818246,0.20947262848818246,logistic_regression,PREBEAR_VS_OUTSIDE
ema_20,0.20834375478218653,0.20834375478218653,logistic_regression,PREBEAR_VS_OUTSIDE
ret_5,0.20021665126014968,-0.20021665126014968,logistic_regression,PREBEAR_VS_OUTSIDE
lower_wick,0.19233559889430032,-0.19233559889430032,logistic_regression,PREBEAR_VS_OUTSIDE
atr,0.1859398806110184,0.1859398806110184,logistic_regression,PREBEAR_VS_OUTSIDE
red_streak,0.1660541977924728,0.1660541977924728,logistic_regression,PREBEAR_VS_OUTSIDE
range,0.1349759658745522,-0.1349759658745522,logistic_regression,PREBEAR_VS_OUTSIDE
low,0.09700478083947758,0.09700478083947758,logistic_regression,PREBEAR_VS_OUTSIDE
close,0.09481071714062511,0.09481071714062511,logistic_regression,PREBEAR_VS_OUTSIDE
body,0.09469982027823187,0.09469982027823187,logistic_regression,PREBEAR_VS_OUTSIDE
high,0.09204316404570052,0.09204316404570052,logistic_regression,PREBEAR_VS_OUTSIDE
open,0.09188721724346936,0.09188721724346936,logistic_regression,PREBEAR_VS_OUTSIDE
ret_1,0.09068601979753839,-0.09068601979753839,logistic_regression,PREBEAR_VS_OUTSIDE
body_abs,0.054596744028277876,-0.054596744028277876,logistic_regression,PREBEAR_VS_OUTSIDE
log_ret,0.05441128524656852,0.05441128524656852,logistic_regression,PREBEAR_VS_OUTSIDE
upper_wick,0.03434325884942494,-0.03434325884942494,logistic_regression,PREBEAR_VS_OUTSIDE
