cond_1,cond_2,both_pass,both_pass_pct
soft_daily_weakening,close_lt_h1_ema20,610,37.67757875231624
close_lt_open,close_lt_h1_ema20,546,33.72452130945028
soft_daily_weakening,close_lt_open,471,29.09203211859172
soft_daily_weakening,h1_ret_4_gt_0,333,20.56825200741198
in_session,close_lt_h1_ema20,331,20.444718962322423
in_session,soft_daily_weakening,265,16.368128474366895
high_ge_hh8,h1_ret_4_gt_0,259,15.99752933909821
close_lt_open,h1_ret_4_gt_0,256,15.812229771463867
in_session,close_lt_open,245,15.132798023471278
close_lt_h1_ema20,h1_ret_4_gt_0,225,13.897467572575664
close_back_below_ema20_fail,close_lt_h1_ema20,202,12.476837554045707
in_session,h1_ret_4_gt_0,180,11.11797405806053
close_back_below_ema20_fail,close_lt_open,159,9.820877084620136
soft_slope_condition,close_lt_h1_ema20,144,8.894379246448425
soft_daily_weakening,soft_slope_condition,120,7.4119827053736875
soft_daily_weakening,close_back_below_ema20_fail,113,6.979617047560223
soft_daily_weakening,high_ge_hh8,109,6.732550957381099
soft_slope_condition,close_lt_open,97,5.991352686843731
in_session,close_back_below_ema20_fail,85,5.250154416306362
in_session,high_ge_hh8,81,5.003088326127239
soft_slope_condition,h1_ret_4_gt_0,79,4.879555281037677
high_ge_hh8,close_lt_open,76,4.694255713403336
close_back_below_ema20_fail,h1_ret_4_gt_0,61,3.7677578752316245
in_session,soft_slope_condition,56,3.4589252625077207
near_end_of_avg_ob_streak,h1_ret_4_gt_0,56,3.4589252625077207
high_ge_hh8,close_lt_h1_ema20,44,2.7177269919703524
near_end_of_avg_ob_streak,high_ge_hh8,31,1.9147621988882024
upper_range_failure,high_ge_hh8,30,1.8529956763434219
upper_range_failure,close_lt_open,30,1.8529956763434219
close_back_below_ema20_fail,high_ge_hh8,29,1.7912291537986413
upper_range_failure,h1_ret_4_gt_0,28,1.7294626312538603
soft_slope_condition,high_ge_hh8,25,1.5441630636195183
near_end_of_avg_ob_streak,close_lt_open,21,1.2970969734403952
in_session,near_end_of_avg_ob_streak,21,1.2970969734403952
soft_slope_condition,close_back_below_ema20_fail,14,0.8647313156269302
upper_range_failure,soft_daily_weakening,12,0.7411982705373688
in_session,upper_range_failure,7,0.4323656578134651
near_end_of_avg_ob_streak,close_lt_h1_ema20,6,0.3705991352686844
near_end_of_avg_ob_streak,close_back_below_ema20_fail,3,0.1852995676343422
upper_range_failure,soft_slope_condition,2,0.12353304508956146
upper_range_failure,near_end_of_avg_ob_streak,2,0.12353304508956146
soft_daily_weakening,near_end_of_avg_ob_streak,0,0.0
soft_daily_weakening,overbought_stall_condition,0,0.0
upper_range_failure,overbought_stall_condition,0,0.0
in_session,overbought_stall_condition,0,0.0
upper_range_failure,close_lt_h1_ema20,0,0.0
upper_range_failure,close_back_below_ema20_fail,0,0.0
overbought_stall_condition,close_lt_h1_ema20,0,0.0
overbought_stall_condition,close_lt_open,0,0.0
overbought_stall_condition,high_ge_hh8,0,0.0
overbought_stall_condition,close_back_below_ema20_fail,0,0.0
overbought_stall_condition,near_end_of_avg_ob_streak,0,0.0
soft_slope_condition,overbought_stall_condition,0,0.0
soft_slope_condition,near_end_of_avg_ob_streak,0,0.0
overbought_stall_condition,h1_ret_4_gt_0,0,0.0
