probe,passes,pass_rate_pct
exhaust_prob_le_0_55,1619,100.0
daily_adx_ge_12,1510,93.26744904261889
daily_rsi_38_62,1293,79.86411365040148
bear_prob_ge_0_35,1035,63.92835083384806
close_lt_open,807,49.84558369363805
h1_rsi_45_72,792,48.919085855466335
h1_ret_4_gt_0,758,46.81902408894379
range_pos_ge_0_60,640,39.53057442865966
bear_prob_ge_0_45,639,39.46880790611488
overbought_stall,596,36.81284743668932
range_pos_ge_0_65,570,35.206917850525016
range_pos_ge_0_68,518,31.99505867819642
range_pos_ge_0_70,484,29.89499691167387
high_ge_hh8,280,17.294626312538604
close_back_below_ema20,202,12.476837554045707
rsi70_streak_ge_2,94,5.8060531192093885
