feature,importance,target
d_ret1,0.2714974851683591,target_long
d_close_loc,0.2004340010397564,target_long
d_range_pct,0.06716854236767869,target_long
hour,0.049250650931244255,target_long
d_ret5,0.024777901663584494,target_long
h_price_vs_ma24,0.02122654517763399,target_long
h_z24,0.02039226307536218,target_long
h_vol24,0.019954377059987462,target_long
h_atr_pct,0.01968891947176831,target_long
d_z20,0.01848364962596727,target_long
h_ret6,0.017956495290552495,target_long
h_rsi14,0.01617743649851008,target_long
h_ret12,0.015773579294673448,target_long
h_price_vs_ma72,0.015438833071084694,target_long
h_z72,0.015374660530776038,target_long
d_atr_pct,0.014713634872111667,target_long
h_rsi7,0.013290843547461177,target_long
h_vol72,0.012429307863334741,target_long
h_gap_24_72,0.011529850298806241,target_long
d_rsi10,0.010761948461974088,target_long
h_ret3,0.010717492177173948,target_long
d_vol10,0.010274756492015657,target_long
h_gap_6_24,0.009702208669508314,target_long
d_price_vs_ma20,0.008741870622644397,target_long
h_range_pct,0.008456522489445643,target_long
d_ma_gap_10_20,0.007849037452072546,target_long
d_vol20,0.007778354234756079,target_long
h_ma6,0.006742610994148147,target_long
h_atr14,0.006522825540836893,target_long
d_rsi14,0.0060830791177557755,target_long
h_ma24,0.005944400202360847,target_long
h_ma72,0.005748841090513852,target_long
d_z50,0.005610793287020207,target_long
d_ret20,0.004950746663795497,target_long
dow,0.004634019231158469,target_long
d_ma20,0.004251297305182499,target_long
d_price_vs_ma50,0.004227516669939745,target_long
d_ma10,0.004013797769508883,target_long
d_ma50,0.0037743313502865603,target_long
d_ma_gap_20_50,0.003771463163194179,target_long
d_atr14,0.003694916339989622,target_long
d_price_vs_ma100,0.0034522807727126225,target_long
d_ma100,0.0032662797391874968,target_long
h_ret1,0.002418494267195953,target_long
h_close_loc,0.0010511390469694795,target_long
