feature,importance,target
d_ret1,0.24488041823247783,target_short
d_close_loc,0.18275647386838528,target_short
d_range_pct,0.06332142278853774,target_short
d_rsi10,0.05089300103448931,target_short
d_z20,0.04417263525600653,target_short
d_ret5,0.038684742149495625,target_short
hour,0.03079353854637709,target_short
d_price_vs_ma20,0.0293098357301025,target_short
d_rsi14,0.026845447476185457,target_short
d_z50,0.0172204161967166,target_short
d_atr_pct,0.015860948418810084,target_short
d_price_vs_ma50,0.014928108843555473,target_short
h_price_vs_ma72,0.012886414901216049,target_short
d_ret20,0.012001735699048395,target_short
d_ma_gap_10_20,0.011958572725722268,target_short
h_price_vs_ma24,0.011738104129840603,target_short
h_z24,0.011057384476632372,target_short
h_gap_24_72,0.011032308518121111,target_short
h_z72,0.010030960252496944,target_short
h_atr_pct,0.009895640126691415,target_short
h_ret12,0.009895179924193063,target_short
h_ret6,0.009586091347043049,target_short
d_vol10,0.009299836173066713,target_short
d_vol20,0.008442246667728167,target_short
h_rsi14,0.008269588424480737,target_short
d_price_vs_ma100,0.008100716262251131,target_short
h_gap_6_24,0.008088207485509206,target_short
h_vol72,0.0069258401039926035,target_short
h_atr14,0.006896924904904987,target_short
h_rsi7,0.006313992040322018,target_short
h_ma72,0.005733641650828011,target_short
h_ma24,0.005623534093001288,target_short
d_ma20,0.005618321289452343,target_short
h_ma6,0.00558533313858139,target_short
d_ma_gap_20_50,0.005486088223628392,target_short
d_ma50,0.005435038616293584,target_short
h_vol24,0.005191258609162954,target_short
h_range_pct,0.004870923559358766,target_short
h_ret3,0.004856452295647822,target_short
d_ma100,0.0045254594323793085,target_short
d_atr14,0.004413268259827085,target_short
d_ma10,0.004371488155615935,target_short
dow,0.0038637560344516146,target_short
h_ret1,0.001490828242097761,target_short
h_close_loc,0.0008478756952734108,target_short
