time,open,high,low,close,tick_volume,spread,real_volume
2020-01-01 23:00:00+00:00,8251.5,8262.25,8247.75,8254.5,2918,0,3515
2020-01-02 00:00:00+00:00,8255.5,8261.75,8253.25,8260.25,1182,25,1437
2020-01-02 01:00:00+00:00,8260.5,8265.5,8251.0,8260.5,2808,25,3454
2020-01-02 02:00:00+00:00,8260.25,8265.5,8258.75,8263.75,1763,25,2395
2020-01-02 03:00:00+00:00,8264.0,8270.5,8264.0,8269.5,1258,25,1617
2020-01-02 04:00:00+00:00,8269.5,8269.5,8265.5,8266.5,574,25,712
2020-01-02 05:00:00+00:00,8266.5,8268.0,8262.0,8267.5,990,25,1289
2020-01-02 06:00:00+00:00,8267.5,8268.25,8263.75,8267.0,964,25,1288
2020-01-02 07:00:00+00:00,8266.75,8278.5,8266.75,8274.0,2675,25,3430
2020-01-02 08:00:00+00:00,8274.25,8287.0,8271.0,8284.0,4246,25,5046
2020-01-02 09:00:00+00:00,8284.5,8295.0,8282.75,8294.25,3491,25,4337
2020-01-02 10:00:00+00:00,8293.75,8301.25,8293.0,8296.5,2155,25,2762
2020-01-02 11:00:00+00:00,8296.5,8296.75,8286.0,8287.25,1924,25,2357
2020-01-02 12:00:00+00:00,8287.0,8297.25,8286.25,8297.0,1861,25,2313
2020-01-02 13:00:00+00:00,8297.0,8309.5,8296.5,8306.75,3494,25,4443
2020-01-02 14:00:00+00:00,8307.0,8330.75,8294.0,8326.5,28114,25,33341
2020-01-02 15:00:00+00:00,8326.75,8328.0,8281.0,8307.0,28636,25,33138
2020-01-02 16:00:00+00:00,8307.0,8312.25,8284.0,8308.0,13759,25,16184
2020-01-02 17:00:00+00:00,8308.25,8324.25,8305.5,8322.75,8304,25,10092
2020-01-02 18:00:00+00:00,8322.75,8323.25,8313.25,8323.0,6546,25,7822
2020-01-02 19:00:00+00:00,8322.75,8342.5,8322.5,8341.0,8692,25,10468
2020-01-02 20:00:00+00:00,8341.0,8367.75,8340.5,8367.5,11706,25,14469
2020-01-02 21:00:00+00:00,8367.5,8380.0,8363.0,8379.75,3781,0,4508
2020-01-02 22:00:00+00:00,8379.75,8379.75,8379.75,8379.75,1,0,1
2020-01-02 23:00:00+00:00,8376.5,8385.5,8375.25,8377.25,1901,0,2373
2020-01-03 00:00:00+00:00,8377.0,8382.25,8375.75,8380.75,1398,25,1674
2020-01-03 01:00:00+00:00,8380.5,8386.25,8348.25,8351.75,5536,25,6651
2020-01-03 02:00:00+00:00,8352.5,8356.5,8310.0,8316.0,16668,25,18618
2020-01-03 03:00:00+00:00,8315.5,8318.25,8281.5,8300.75,10414,25,11732
2020-01-03 04:00:00+00:00,8301.25,8317.25,8296.25,8308.5,6085,25,6729
2020-01-03 05:00:00+00:00,8308.75,8312.5,8284.75,8296.75,7673,25,8114
2020-01-03 06:00:00+00:00,8297.25,8298.5,8286.5,8296.5,3726,25,3995
2020-01-03 07:00:00+00:00,8295.75,8303.0,8270.0,8271.5,8369,25,9146
2020-01-03 08:00:00+00:00,8271.0,8283.0,8258.0,8273.5,7971,25,9159
2020-01-03 09:00:00+00:00,8273.75,8274.75,8241.25,8255.0,7739,25,9730
2020-01-03 10:00:00+00:00,8254.25,8262.5,8213.75,8224.5,12025,25,14933
2020-01-03 11:00:00+00:00,8224.0,8242.75,8219.5,8235.0,10735,25,12496
2020-01-03 12:00:00+00:00,8235.0,8262.75,8234.5,8255.0,7389,25,8803
2020-01-03 13:00:00+00:00,8254.75,8286.25,8254.0,8269.75,14967,25,17532
2020-01-03 14:00:00+00:00,8269.5,8319.25,8247.0,8304.0,39131,25,45015
2020-01-03 15:00:00+00:00,8303.75,8316.0,8283.5,8298.0,28784,25,33026
2020-01-03 16:00:00+00:00,8297.25,8316.0,8284.0,8312.75,14190,25,16539
2020-01-03 17:00:00+00:00,8312.75,8339.75,8312.25,8331.75,11946,25,14523
2020-01-03 18:00:00+00:00,8332.25,8334.75,8294.0,8312.75,17483,25,20077
2020-01-03 19:00:00+00:00,8312.0,8321.75,8300.75,8319.25,11532,25,13234
2020-01-03 20:00:00+00:00,8319.0,8327.5,8288.5,8289.25,21802,25,26199
2020-01-03 21:00:00+00:00,8289.0,8295.0,8283.25,8289.5,3527,0,4309
2020-01-03 22:00:00+00:00,8288.75,8288.75,8288.75,8288.75,1,700,1
2020-01-05 20:00:00+00:00,8288.75,8288.75,8288.75,8288.75,1,400,1
2020-01-05 22:00:00+00:00,8288.75,8288.75,8288.75,8288.75,1,0,1
2020-01-05 23:00:00+00:00,8263.0,8263.0,8226.25,8256.5,8113,25,9580
2020-01-06 00:00:00+00:00,8256.75,8262.75,8247.0,8252.75,5527,25,6047
2020-01-06 01:00:00+00:00,8253.0,8253.75,8238.5,8241.5,4240,25,5152
2020-01-06 02:00:00+00:00,8241.5,8249.5,8238.75,8242.75,3006,25,3600
2020-01-06 03:00:00+00:00,8242.5,8259.75,8242.5,8257.5,2342,25,2801
2020-01-06 04:00:00+00:00,8257.75,8273.5,8254.5,8266.5,3535,25,4389
2020-01-06 05:00:00+00:00,8266.0,8268.5,8257.75,8259.75,1802,25,2156
2020-01-06 06:00:00+00:00,8259.75,8261.5,8240.75,8251.75,4206,25,5394
2020-01-06 07:00:00+00:00,8252.25,8268.5,8248.75,8249.75,4536,25,5636
2020-01-06 08:00:00+00:00,8249.5,8257.75,8204.25,8207.0,12288,25,14661
2020-01-06 09:00:00+00:00,8207.0,8220.25,8201.5,8217.5,7235,25,8996
2020-01-06 10:00:00+00:00,8217.75,8227.5,8214.25,8225.75,4057,25,5024
2020-01-06 11:00:00+00:00,8225.75,8231.0,8217.75,8226.5,3439,25,4148
2020-01-06 12:00:00+00:00,8226.75,8244.75,8226.75,8240.0,4458,25,5401
2020-01-06 13:00:00+00:00,8239.75,8239.75,8219.25,8230.25,6971,25,8031
2020-01-06 14:00:00+00:00,8229.75,8279.0,8207.0,8275.75,31941,25,36362
2020-01-06 15:00:00+00:00,8275.75,8308.75,8270.75,8302.25,25919,25,31146
2020-01-06 16:00:00+00:00,8302.5,8315.0,8296.25,8301.5,12288,25,15447
2020-01-06 17:00:00+00:00,8301.5,8302.75,8290.25,8301.0,8523,25,10466
2020-01-06 18:00:00+00:00,8300.75,8315.0,8299.75,8309.25,6596,25,8003
2020-01-06 19:00:00+00:00,8309.25,8325.25,8304.25,8318.75,7301,25,8791
2020-01-06 20:00:00+00:00,8318.5,8345.0,8314.5,8341.75,13537,25,16170
2020-01-06 21:00:00+00:00,8342.0,8351.0,8323.25,8331.0,4670,0,5432
2020-01-06 22:00:00+00:00,8331.0,8331.0,8331.0,8331.0,1,0,1
2020-01-06 23:00:00+00:00,8330.25,8337.25,8324.5,8327.5,2060,25,2455
2020-01-07 00:00:00+00:00,8327.5,8349.25,8326.0,8343.0,3695,25,4554
2020-01-07 01:00:00+00:00,8343.0,8355.25,8341.0,8350.5,3419,25,4140
2020-01-07 02:00:00+00:00,8350.75,8361.5,8350.0,8352.75,3149,25,3828
2020-01-07 03:00:00+00:00,8352.75,8353.5,8347.75,8351.0,1650,25,1987
2020-01-07 04:00:00+00:00,8351.25,8367.75,8351.0,8360.75,2804,25,3567
2020-01-07 05:00:00+00:00,8360.75,8361.75,8351.75,8354.75,1915,25,2458
2020-01-07 06:00:00+00:00,8354.5,8357.5,8340.0,8349.75,3696,25,4501
2020-01-07 07:00:00+00:00,8349.5,8360.75,8330.5,8343.25,8725,25,10052
2020-01-07 08:00:00+00:00,8343.25,8373.0,8335.25,8358.0,10465,25,11696
2020-01-07 09:00:00+00:00,8358.25,8364.25,8345.75,8356.0,4538,25,5747
2020-01-07 10:00:00+00:00,8356.0,8361.5,8346.5,8354.5,3598,25,4284
2020-01-07 11:00:00+00:00,8354.25,8360.25,8342.5,8345.5,3009,25,3849
2020-01-07 12:00:00+00:00,8345.25,8361.0,8343.75,8359.0,3747,25,4549
2020-01-07 13:00:00+00:00,8358.75,8361.75,8331.25,8335.5,7993,25,9069
2020-01-07 14:00:00+00:00,8335.0,8355.75,8312.5,8335.5,38845,25,44066
2020-01-07 15:00:00+00:00,8335.5,8356.5,8321.25,8353.75,32398,25,37610
2020-01-07 16:00:00+00:00,8354.25,8366.5,8343.0,8347.75,14833,25,18258
2020-01-07 17:00:00+00:00,8347.75,8356.75,8342.0,8353.75,8883,25,10693
2020-01-07 18:00:00+00:00,8353.5,8363.5,8353.5,8362.75,5568,25,6802
2020-01-07 19:00:00+00:00,8362.75,8363.25,8339.25,8349.5,8396,25,10329
2020-01-07 20:00:00+00:00,8350.25,8359.0,8335.0,8340.75,10858,25,13454
2020-01-07 21:00:00+00:00,8341.0,8341.75,8303.5,8322.5,6367,0,7704
2020-01-07 23:00:00+00:00,8321.5,8326.0,8205.5,8230.5,36712,25,41410
2020-01-08 00:00:00+00:00,8231.0,8235.25,8156.75,8188.75,38293,25,41733
2020-01-08 01:00:00+00:00,8188.75,8256.75,8178.5,8228.25,31484,25,34411
2020-01-08 02:00:00+00:00,8228.25,8309.5,8224.75,8297.0,26874,25,30202
2020-01-08 03:00:00+00:00,8297.25,8304.0,8267.5,8295.75,16896,25,19135
2020-01-08 04:00:00+00:00,8295.75,8304.0,8283.0,8285.5,3361,25,3895
2020-01-08 05:00:00+00:00,8286.25,8300.75,8279.5,8282.5,4531,25,5365
2020-01-08 06:00:00+00:00,8283.0,8294.0,8277.25,8288.75,3707,25,4142
2020-01-08 07:00:00+00:00,8288.25,8313.25,8286.25,8306.0,8179,25,9248
2020-01-08 08:00:00+00:00,8306.0,8321.5,8298.0,8310.5,10051,25,11400
2020-01-08 09:00:00+00:00,8310.5,8323.5,8307.0,8318.25,6413,25,8217
2020-01-08 10:00:00+00:00,8317.75,8353.0,8314.5,8345.75,8462,25,10414
2020-01-08 11:00:00+00:00,8346.0,8363.25,8338.5,8347.0,8978,25,12119
