model,feature,importance_mean
combined,h1_atr_14,0.036388018809893834
combined,h1_upper_wick_ratio,0.024060972303159803
combined,dist_prev_day_close,0.01962053426897178
combined,h1_down_bars_last_5,0.018079179211991713
combined,bars_since_20bar_high,0.0177131895881896
combined,d1_trigger_close_pos,0.014184563989251489
combined,d1_consec_green,0.008719000906500912
combined,h1_hour_gmt,0.007690081908831896
combined,h1_body_ratio,0.00748116177803677
combined,d1_day_of_week,0.004655934343434337
combined,dist_prev_day_high,0.004449037652162656
combined,h1_atr_pct_60,0.004390610835923334
combined,h1_down_bars_last_3,0.004063066563066556
combined,d1_ma_band_width,0.0037615740740740886
combined,d1_consec_red,0.0029097060347060325
combined,h1_atr_vs_d1,0.0025955670486920665
combined,d1_rsi_14,0.002433438956876463
combined,d1_ema50_slope_5,0.0013020833333333333
combined,close_above_d_100,0.0
combined,close_above_d_200,0.0
combined,close_above_d_50,0.0
combined,h1_above_trigger,0.0
combined,setup_type_code,0.0
combined,d1_price_vs_slow_ma,-0.0003255208333333333
combined,dist_prev_day_low,-0.0004643793706293707
combined,d1_trigger_bar_size,-0.0011313556235431437
combined,d1_ema100_slope_5,-0.0029296875
combined,h1_rsi_14,-0.0058775859557109456
combined,d1_atr_ratio,-0.007408570885133373
combined,h1_lower_wick_ratio,-0.010276543479668504
combined,h1_fast_minus_slow_atr,-0.011907688665501182
combined,h1_close_location,-0.016152105995856005
combined,h1_rsi_7,-0.022475607436544934
combined,h1_pullback_depth_atr,-0.030704177188552187
daily_dip,h1_upper_wick_ratio,0.051123132819561413
daily_dip,h1_atr_14,0.044062336473050766
daily_dip,bars_since_20bar_high,0.03824300699300697
daily_dip,dist_prev_day_close,0.03351975405546834
daily_dip,h1_pullback_depth_atr,0.03053940107511537
daily_dip,h1_atr_vs_d1,0.022501308215593933
daily_dip,dist_prev_day_high,0.022424896532039395
daily_dip,d1_trigger_close_pos,0.020309452452309616
daily_dip,h1_rsi_14,0.019456139098996246
daily_dip,h1_body_ratio,0.017189209599923875
daily_dip,d1_price_vs_slow_ma,0.016156462585034028
daily_dip,dist_prev_day_low,0.014529220779220772
daily_dip,d1_trigger_bar_size,0.011111656200941912
daily_dip,d1_consec_red,0.01089015151515152
daily_dip,d1_consec_green,0.010423951048951044
daily_dip,d1_day_of_week,0.00808566433566433
daily_dip,h1_hour_gmt,0.005957435421721141
daily_dip,h1_atr_pct_60,0.004461461157889725
daily_dip,close_above_d_100,0.0
daily_dip,close_above_d_200,0.0
daily_dip,close_above_d_50,0.0
daily_dip,d1_ema100_slope_5,0.0
daily_dip,d1_ma_band_width,0.0
daily_dip,h1_above_trigger,0.0
daily_dip,h1_close_location,-0.00028215831787259046
daily_dip,h1_down_bars_last_5,-0.0007575757575757625
daily_dip,h1_down_bars_last_3,-0.0018939393939394061
daily_dip,d1_rsi_14,-0.0022727272727272874
daily_dip,d1_ema50_slope_5,-0.004251700680272102
daily_dip,h1_fast_minus_slow_atr,-0.006934434613006041
daily_dip,h1_lower_wick_ratio,-0.007466491841491826
daily_dip,h1_rsi_7,-0.013833636601493735
daily_dip,d1_atr_ratio,-0.014455782312925157
