idx,signal_time,signal_time_gmt,gmt_date,entry_hour,d_rsi,entry_time,entry,max_favorable_points,max_adverse_points,final_move_points,max_red_atr,count_red_candles
17678,2022-03-28 01:00:00+00:00,2022-03-28 01:00:00+00:00,2022-03-28,1,63.21039278356372,2022-03-28 02:00:00+00:00,14881.0,581.0,29.25,455.0,73.42702448343576,1.0
22906,2023-02-14 01:00:00+00:00,2023-02-14 01:00:00+00:00,2023-02-14,1,63.398542938948765,2023-02-14 02:00:00+00:00,12591.75,267.0,135.0,-112.0,73.7242625682938,1.0
36226,2025-05-12 01:00:00+00:00,2025-05-12 01:00:00+00:00,2025-05-12,1,66.51807058714729,2025-05-12 02:00:00+00:00,20308.75,903.75,12.5,868.75,99.32930284963305,1.0
36914,2025-06-23 01:00:00+00:00,2025-06-23 01:00:00+00:00,2025-06-23,1,72.61847946315618,2025-06-23 02:00:00+00:00,22026.0,808.75,2.25,765.5,71.7910531344488,1.0
41713,2026-04-10 01:00:00+00:00,2026-04-10 01:00:00+00:00,2026-04-10,1,65.51400712313739,2026-04-10 02:00:00+00:00,25285.0,759.25,370.5,728.25,70.75341062396467,1.0
41736,2026-04-13 01:00:00+00:00,2026-04-13 01:00:00+00:00,2026-04-13,1,65.37959471639601,2026-04-13 02:00:00+00:00,25083.5,1382.5,39.5,1350.75,77.72583681318278,1.0
41828,2026-04-17 01:00:00+00:00,2026-04-17 01:00:00+00:00,2026-04-17,1,75.47889100339796,2026-04-17 02:00:00+00:00,26489.25,412.75,46.0,288.25,75.11380340216044,1.0
41920,2026-04-23 01:00:00+00:00,2026-04-23 01:00:00+00:00,2026-04-23,1,74.56516310235531,2026-04-23 02:00:00+00:00,27001.0,541.0,321.0,389.75,86.59271629620773,1.0
42000,2026-04-28 01:00:00+00:00,2026-04-28 01:00:00+00:00,2026-04-28,1,70.23792800866153,2026-04-28 02:00:00+00:00,27422.75,251.0,416.5,219.75,90.66546378699756,1.0
42023,2026-04-29 01:00:00+00:00,2026-04-29 01:00:00+00:00,2026-04-29,1,73.29047934007147,2026-04-29 02:00:00+00:00,27247.25,679.0,158.25,645.25,76.29250825156774,1.0
42096,2026-05-04 01:00:00+00:00,2026-05-04 01:00:00+00:00,2026-05-04,1,73.37734259843201,2026-05-04 02:00:00+00:00,27919.0,881.0,304.75,785.25,90.86329544542191,1.0
42165,2026-05-07 01:00:00+00:00,2026-05-07 01:00:00+00:00,2026-05-07,1,81.49558401878683,2026-05-07 02:00:00+00:00,28697.75,782.75,155.75,707.0,81.3786469329643,1.0
42245,2026-05-12 01:00:00+00:00,2026-05-12 01:00:00+00:00,2026-05-12,1,74.7338030246832,2026-05-12 02:00:00+00:00,29270.25,513.5,529.0,311.5,104.106063097396,1.0
42268,2026-05-13 01:00:00+00:00,2026-05-13 01:00:00+00:00,2026-05-13,1,79.08832655779848,2026-05-13 02:00:00+00:00,29215.25,568.5,140.0,-42.5,108.8633223529323,1.0
42354,2026-05-18 01:00:00+00:00,2026-05-18 01:00:00+00:00,2026-05-18,1,66.09521550367062,2026-05-18 02:00:00+00:00,29022.75,401.75,359.75,396.75,141.80942358905978,1.0
